species,avg,stdev,habitat,tipping_pt
abetow,0.0998267416030285,0.005755169007362904,Aridlands,NA
acafly,0.10011275120670618,8.592892650903112e-4,Forest,NA
acowoo,0.09976714783832963,0.0024554776103909125,Forest,NA
aldfly,0.09996664236074604,6.496472619073151e-4,Forest,NA
allhum,0.10101275053766977,0.007770256073742714,Aridlands,Tipping Point
ambduc,0.09865701408134772,0.005547090691849023,Water/wetland,NA
ameavo,0.10084385341433082,0.009855109995872005,Water/wetland,NA
amebit,0.1002260068234675,0.001096040177494243,Water/wetland,NA
amecro,0.0999521094472996,6.2379308740522e-4,Habitat Generalist,NA
amedip,0.09987858506982711,0.0022489935319239054,Water/wetland,NA
amegfi,0.10003744504036567,2.4862885950618273e-4,Forest,NA
amekes,0.10002509489379965,3.2010018960327614e-4,Habitat Generalist,NA
amepip,0.09997085309887711,5.963056256724262e-4,Water/wetland,NA
amered,0.10007658799154286,5.031971964789138e-4,Forest,NA
amerob,0.10003690463408708,9.484616259858366e-4,Forest,NA
amewig,0.10017597470729077,0.0025175917646481825,Water/wetland,NA
amewoo,0.09999913411082187,6.221626536948154e-4,Forest,NA
amgplo,0.1001676901727905,0.002586577649867563,Water/wetland,Tipping Point
amtspa,0.09998541116542305,4.419873842752612e-4,Water/wetland,NA
amwpel,0.09975624170259978,0.003495836678628725,Water/wetland,NA
anhing,0.1001353484074222,0.0019725195706444404,Water/wetland,NA
annhum,0.10004020384536809,0.0017786379488150257,Aridlands,NA
arcter,0.09598633909915211,0.0016327237926451299,Water/wetland,NA
arcwar1,0.09950506220487114,0.001398876214922173,Water/wetland,NA
astfly,0.09990123920823354,7.255629991125827e-4,Aridlands,NA
attwoo1,0.09958041969711928,0.0014138295830966939,Forest,NA
babwar,0.09997467247618834,7.505943114525297e-4,Forest,NA
bacspa,0.09936235203886604,0.004194775959788578,Forest,Tipping Point
baisan,0.09999737552510904,0.001259000023292756,Water/wetland,NA
baispa,0.09998479696152934,0.0017566613391008549,Grasslands,Tipping Point
baleag,0.09896724690830197,7.304467293206288e-4,Water/wetland,NA
balori,0.10002264389326405,4.177625592897763e-4,Forest,NA
banswa,0.10018855921797502,0.0025123483238517264,Habitat Generalist,NA
bargol,0.09769284079757568,0.0030718864052238564,Water/wetland,NA
barswa,0.10029136733287554,0.0037796878296297437,Habitat Generalist,NA
batpig1,0.09994663192424852,0.0019930690552402213,Forest,NA
bawwar,0.100102605451077,5.318180881397331e-4,Forest,NA
bcnher,0.09983550930239458,0.001969247154412719,Water/wetland,NA
belkin1,0.0999477169726007,3.477847906298974e-4,Water/wetland,NA
belspa2,0.10025616671868395,0.0027594646466368973,Aridlands,NA
belvir,0.10004524753773986,9.75824074529515e-4,Aridlands,NA
benthr,0.09969111351026569,0.0034930226746463793,Aridlands,Tipping Point
bewwre,0.09993687222817246,7.097003170285548e-4,Aridlands,NA
bkbcuc,0.10005800717647373,0.0011334159339327606,Forest,Tipping Point
bkbmag1,0.10001705740250694,8.256205801443427e-4,Habitat Generalist,NA
bkbplo,0.09899246881211983,0.006490241703798871,Water/wetland,NA
bkbwar,0.09997293291747114,8.320346435061348e-4,Forest,NA
bkbwoo,0.10019363816618679,0.002460428287969333,Forest,NA
bkcchi,0.10009779767376083,8.026492069624864e-4,Forest,NA
bkchum,0.09998646900045363,0.0010624723940834252,Forest,NA
bkcspa,0.09999779416768582,0.002426924478812392,Aridlands,Tipping Point
bkhgro,0.10006362332296342,6.296662512833536e-4,Forest,NA
bknsti,0.10080451405557997,0.006444943370357481,Water/wetland,NA
bkpwar,0.09994700700311378,5.359850815558218e-4,Forest,NA
bktgna,0.09984250013955873,0.0022169763071191416,Aridlands,NA
bktspa,0.09990599196451656,0.0010636805861852078,Aridlands,NA
bkwvir,0.09899225602272053,0.02651079050486421,Forest,NA
blctit4,0.09991583453336744,0.0020609848749020376,Aridlands,NA
blkpho,0.10002970523147837,0.0015397115728910855,Water/wetland,NA
blksco2,0.08630776783666329,0.004712971070219637,Water/wetland,Tipping Point
blkswi,0.10027693109384302,0.003939503501522559,Forest,Tipping Point
blkter,0.09883199667136507,0.003202631237113405,Water/wetland,NA
blkvul,0.10009199685524192,7.916794742701854e-4,Habitat Generalist,NA
blugrb1,0.09998167243816938,4.2473121657531706e-4,Forest,NA
blujay,0.10003605107937363,3.300714120579146e-4,Forest,NA
bncfly,0.09995160578581556,0.0019074804821328744,Aridlands,NA
bnhcow,0.09989963932447146,0.001432984146186499,Habitat Generalist,NA
bnhnut,0.10015679230999905,0.0015579789467499254,Forest,NA
boboli,0.10023383093974018,0.0021359117027731933,Grasslands,Tipping Point
bohwax,0.09988447972166209,0.0019115568864025302,Forest,NA
bongul,0.0988523158238052,0.0043147643555355025,Water/wetland,NA
borchi2,0.09982480493713228,0.0011621235306018068,Forest,NA
botgra,0.09942318213786279,0.005600270052963676,Water/wetland,NA
brant,0.09963129418046075,0.00696825652079688,Water/wetland,NA
brdowl,0.10002625590567198,6.347842509954957e-4,Forest,NA
brebla,0.10009063075126708,6.915488351182016e-4,Habitat Generalist,NA
brespa,0.09998138269832213,6.959420212515932e-4,Aridlands,NA
britit,0.09908904020085174,0.005173469303014671,Forest,NA
brncre,0.10000826835612035,4.534179534858558e-4,Forest,NA
brnowl,0.10003290299585348,0.0017286615470591706,Habitat Generalist,NA
brnthr,0.10004841301204515,3.4562519613576216e-4,Forest,NA
brocow,0.10021288647774569,0.004314851680506959,Aridlands,NA
brthum,0.09997899853239028,0.0014021881597213433,Forest,NA
brwhaw,0.10019534526530205,0.002340637734414086,Forest,NA
btbwar,0.09993263678087166,0.0011662759443372896,Forest,NA
btnwar,0.09999325997709128,7.306638990876279e-4,Forest,NA
btywar,0.09998568299995311,8.857511136854263e-4,Forest,NA
bubsan,0.10035133678582035,0.005110865199989757,Water/wetland,Tipping Point
buffle,0.09901592863042355,0.0015882904452499387,Water/wetland,NA
buggna,0.10004722908215408,3.9074213108138654e-4,Habitat Generalist,NA
