species,avg,stdev,lower95,upper95,habitat,tipping_pt
abetow,0.43988632294481794,0.009146814805975022,0.4219585659251069,0.457814079964529,Aridlands,NA
acafly,0.4400296785215019,0.0013705768757864196,0.4373433478449605,0.44271600919804327,Forest,NA
acowoo,0.4400452930249636,0.004778344823308866,0.4306797371712782,0.44941084887864896,Forest,NA
aldfly,0.4399445417200527,0.001112373820400389,0.43776428903206793,0.4421247944080375,Forest,NA
allhum,0.4399679332518142,0.01126418330393494,0.41789013397610175,0.4620457325275267,Aridlands,Tipping Point
ambduc,0.43665921597340507,0.008625495349803515,0.41975324508779016,0.45356518685902,Water/wetland,NA
ameavo,0.43830782770425175,0.015245876265337851,0.40842591022418956,0.46818974518431394,Water/wetland,NA
amebit,0.4399022555756926,0.0018125127841315163,0.43634973051879483,0.4434547806325904,Water/wetland,NA
amecro,0.43959948241887037,0.0010456064574076147,0.43755009376235143,0.4416488710753893,Habitat Generalist,NA
amedip,0.4398088780260902,0.003666611293948844,0.4326223198899505,0.4469954361622299,Water/wetland,NA
amegfi,0.4399391502359617,5.076517745811101e-4,0.4389441527577827,0.4409341477141407,Forest,NA
amekes,0.43992040423753864,5.358832612978355e-4,0.4388700730453949,0.4409707354296824,Habitat Generalist,NA
amepip,0.4395952988463927,9.105665808219743e-4,0.43781058834798164,0.44138000934480376,Water/wetland,NA
amered,0.43990413040913795,7.933273151501018e-4,0.43834920887144374,0.44145905194683216,Forest,NA
amerob,0.4399680897703851,0.0015347797297210121,0.4369599215001319,0.4429762580406383,Forest,NA
amewig,0.4395527884422066,0.0038115776339680096,0.4320820962796293,0.44702348060478386,Water/wetland,NA
amewoo,0.4399484452489999,0.0011076133648691298,0.4377775230538564,0.4421193674441434,Forest,NA
amgplo,0.43988270206545677,0.004243002604022681,0.43156641696157233,0.4481989871693412,Water/wetland,Tipping Point
amtspa,0.43994470077652215,7.971020135577885e-4,0.4383823808299489,0.4415070207230954,Water/wetland,NA
amwpel,0.4388807551701593,0.005440167538712232,0.42821802679428334,0.44954348354603524,Water/wetland,NA
anhing,0.43992040933251386,0.003628779826937023,0.4328080008717173,0.44703281779331044,Water/wetland,NA
annhum,0.4397079513990037,0.0031372742563819337,0.4335588938564951,0.4458570089415123,Aridlands,NA
arcter,0.4233692239520272,0.0027601832848954556,0.4179592647136321,0.4287791831904223,Water/wetland,NA
arcwar1,0.43825618801993915,0.002461118040129777,0.4334323966612848,0.4430799793785935,Water/wetland,NA
astfly,0.44000362138012267,0.0012340844220688392,0.43758481591286774,0.4424224268473776,Aridlands,NA
attwoo1,0.43998296605244896,0.002423551919338465,0.43523280429054556,0.44473312781435237,Forest,NA
babwar,0.43994713340100794,0.001266010261206777,0.43746575328904264,0.44242851351297324,Forest,NA
bacspa,0.4399460807182624,0.00674774963344742,0.4267204914367055,0.45317166999981934,Forest,Tipping Point
baisan,0.4399197684369708,0.0021631001489626892,0.4356800921450039,0.44415944472893765,Water/wetland,NA
baispa,0.4399440089895217,0.0031745101632353044,0.4337219690695805,0.4461660489094629,Grasslands,Tipping Point
baleag,0.4355618252585308,0.0013626990664136766,0.43289093508836,0.4382327154287016,Water/wetland,NA
balori,0.4400019053195659,8.926545386598966e-4,0.4382523024237925,0.4417515082153393,Forest,NA
banswa,0.4394234430309876,0.003880919111429962,0.4318168415725849,0.4470300444893904,Habitat Generalist,NA
bargol,0.4312472795195972,0.005192295214758456,0.4210703808986706,0.44142417814052376,Water/wetland,NA
barswa,0.43978712358399963,0.005536311718045329,0.42893595261663076,0.4506382945513685,Habitat Generalist,NA
batpig1,0.43997910006648183,0.003490896286564994,0.43313694334481445,0.4468212567881492,Forest,NA
bawwar,0.43994470640802397,9.371763526732195e-4,0.43810784075678444,0.4417815720592635,Forest,NA
bcnher,0.4390029996447697,0.0029866010341657355,0.43314926161780487,0.4448567376717345,Water/wetland,NA
belkin1,0.43952889902019177,6.483425920091429e-4,0.43825814753985387,0.44079965050052966,Water/wetland,NA
belspa2,0.4401533358626789,0.00526375414012792,0.4298363777480282,0.45047029397732963,Aridlands,NA
belvir,0.44001682698229483,0.0015903222499177366,0.43689979537245605,0.4431338585921336,Aridlands,NA
benthr,0.4400042985686933,0.005498069942618168,0.42922808148116165,0.4507805156562249,Aridlands,Tipping Point
bewwre,0.43999976705277904,0.0012545548136760655,0.43754083961797396,0.4424586944875841,Aridlands,NA
bkbcuc,0.4399329256695884,0.0018809908769025052,0.4362461835508595,0.44361966778831735,Forest,Tipping Point
bkbmag1,0.43975692055625953,0.0014352861755060902,0.4369437596522676,0.44257008146025145,Habitat Generalist,NA
bkbplo,0.4334425325394254,0.010742984434069652,0.4123862830486489,0.4544987820302019,Water/wetland,NA
bkbwar,0.4399253135045678,0.001436718935674421,0.43710934439064597,0.44274128261848966,Forest,NA
bkbwoo,0.4401490968711123,0.004316345497100973,0.4316890596967944,0.44860913404543024,Forest,NA
bkcchi,0.43993596094786086,0.0011921328098581949,0.43759938064053877,0.44227254125518295,Forest,NA
bkchum,0.4399487205346516,0.0017853030198484218,0.4364495266157487,0.4434479144535545,Forest,NA
bkcspa,0.44018903320905967,0.004351159845166477,0.4316607599125334,0.44871730650558594,Aridlands,Tipping Point
bkhgro,0.4399876328243396,0.0011572105304940268,0.43771950018457134,0.4422557654641079,Forest,NA
bknsti,0.43915389572348057,0.010478364429399669,0.41861630144185724,0.4596914900051039,Water/wetland,NA
bkpwar,0.43984582703150393,9.185702296856426e-4,0.4380454293813201,0.4416462246816878,Forest,NA
bktgna,0.439937120953877,0.0035097971738093036,0.43305791849321074,0.44681632341454325,Aridlands,NA
bktspa,0.44000163653697433,0.0016969077135922071,0.4366756974183336,0.44332757565561504,Aridlands,NA
bkwvir,0.4382437123077807,0.04895268005489804,0.34229645940018055,0.5341909652153809,Forest,NA
blctit4,0.4400354154824098,0.0035902918427143013,0.4329984434706898,0.44707238749412986,Aridlands,NA
blkpho,0.43981721560789616,0.002510105757509411,0.4348974083231777,0.44473702289261463,Water/wetland,NA
blksco2,0.38117595608952093,0.007467176615865545,0.3665402899224245,0.39581162225661737,Water/wetland,Tipping Point
blkswi,0.4397094369080526,0.0060429519518691585,0.42786525108238904,0.45155362273371613,Forest,Tipping Point
blkter,0.43459746666153654,0.006024160150101211,0.4227901127673382,0.4464048205557349,Water/wetland,NA
blkvul,0.43998357495390805,0.0015171975337636488,0.4370098677877313,0.4429572821200848,Habitat Generalist,NA
blugrb1,0.43998992011519206,8.061229918658512e-4,0.43840991905113497,0.44156992117924915,Forest,NA
blujay,0.4399387919165789,6.741455863679432e-4,0.4386174665672978,0.44126011726586006,Forest,NA
bncfly,0.4400728639962137,0.003222191027091014,0.43375736958311534,0.44638835840931207,Aridlands,NA
bnhcow,0.43996605320950455,0.0026456094443216547,0.4347806586986341,0.445151447720375,Habitat Generalist,NA
bnhnut,0.43993396734193374,0.002515425268468287,0.43500373381573587,0.4448642008681316,Forest,NA
boboli,0.4399094158179354,0.0036382140914479194,0.4327785161986975,0.4470403154371733,Grasslands,Tipping Point
bohwax,0.43991133040390784,0.002957257218935911,0.43411510625479344,0.44570755455302224,Forest,NA
bongul,0.4335463890762615,0.006315589297555351,0.42116783405305297,0.44592494409947,Water/wetland,NA
borchi2,0.44001772062467304,0.0019328686609648245,0.436229298049182,0.4438061432001641,Forest,NA
