species_code,sum
acafly,0.770112271031842
acowoo,0.7117700845361642
aldfly,0.28030728175083464
amegfi,0.5282992067353245
amered,0.5388483806644917
amerob,0.5029459846121345
amewoo,0.6474985002380977
attwoo1,0.19647538856287383
babwar,0.595233001297089
bacspa,0.8458710585573357
balori,0.4329796418457259
batpig1,0.6202387290545417
bawwar,0.6463254563678311
bkbcuc,0.5455413064876748
bkbwar,0.6332962607465172
bkbwoo,0.4397868943325598
bkcchi,0.5396391311760524
bkchum,0.4497976630916538
bkhgro,0.4269098266679065
bkpwar,0.35309697626815995
bkwvir,0.16461245996242724
blkswi,0.3868746366887734
blugrb1,0.513334874928395
blujay,0.5792605797053303
bnhnut,0.7564699001265183
bohwax,0.20346030898388356
borchi2,0.01892860477407088
brdowl,0.7096627277796835
britit,0.45616382701700786
brncre,0.5479876175341962
brnthr,0.5450436893311426
brthum,0.3767630849080992
brwhaw,0.6460707827678446
btbwar,0.6977141959256075
btnwar,0.65309702427526
btywar,0.33679782239074824
buhvir,0.6599422957088432
bulori,0.3544733411222476
bushti,0.30312367081491276
buwwar,0.7452780411860493
calhum,0.4399259149065806
camwar,0.6624414741989022
canwar,0.563261340507359
carchi,0.7567447461743271
carwre,0.7198521447493318
casfin,0.3232439749908851
caskin,0.3410415802456635
casvir,0.47616791486974464
cedwax,0.574872033743727
cerwar,0.905724925324904
chbchi,0.5586408309418438
chispa,0.5063238098828731
chiswi,0.5705569764451646
chswar,0.6485060583335299
chwwid,0.8234864479070562
clanut,0.25661744374436
conwar,0.40149332940943694
coohaw,0.3906918080607582
corfly,0.4033961079257651
cowscj1,0.59972690777591
daejun,0.4431810645269777
dowwoo,0.6113798569747858
dusfly,0.324720029439725
dusgro,0.28562980890953327
easblu,0.6569950319863387
easowl1,0.6822945020872251
easpho,0.6700671815411414
eastow,0.709758356277089
easwpw1,0.8333756885964823
eawpew,0.6071069878001865
evegro,0.5484310745222755
fiespa,0.5941143830489208
foxspa,0.2910130383557794
gockin,0.5681362408721045
gowwar,0.6446658741681199
grawar,0.4325946891012151
grcfly,0.6267914936679722
grycat,0.515063260688168
gryfly,0.18823255890023805
gryjay,0.11770546876251053
grykin,0.29712469628157123
gryvir,0.23718403313186798
gycthr,0.12955099892468103
haiwoo,0.5800612874613944
hamfly,0.40442663573201143
heptan,0.4405742747680321
herthr,0.4873168834761481
herwar,0.6111223673113231
hoowar,0.878423358981457
houwre,0.4233773802844143
hutvir,0.6055047684068313
indbun,0.5892770256470761
juntit1,0.22526718012596803
kenwar,0.8521014130123932
lazbun,0.31374154136679966
leafly,0.4530990841118937
lesgol,0.39861782403821877
lewwoo,0.38266045394756176
linspa,0.32420302351332564
loeowl,0.21581054162348767
louwat,0.8454778037818712
macwar,0.3457082425113436
magwar,0.5647462379759389
mexjay4,0.3941278174018521
miskit,0.5819917685316984
moublu,0.31857349403188573
mouchi,0.38442976827216
mouqua,0.650613156315341
mouwar,0.5768765730780281
naswar,0.49779406371889
nopowl,0.5761373647363257
norbob,0.4950532092307097
norcar,0.6305354855940513
norfli,0.47398351357512736
norgos,0.11793748090683298
norpar,0.6912239597487997
norwat,0.2556326555063082
nswowl,0.3448922370387702
nutwoo,0.6020388990937136
oaktit,0.7422918429392666
olsfly,0.34914608666769403
orcori,0.5425387466007718
orcwar,0.3101547599081321
ovenbi1,0.7157347722860067
pacwre1,0.445401934175504
paibun,0.6438746159796003
palwar,0.5305176907343813
pasfly,0.4125877248481764
phivir,0.5374468977877163
pilwoo,0.7558339900450477
pingro,0.08122817445386021
pinjay,0.14024902677424933
pinsis,0.45837101946538883
pinwar,0.7739462247645013
plsvir,0.3286298105817069
prawar,0.790738553961853
prowar,0.6262298647609472
purfin,0.5948285942423635
pygnut,0.5182920905907804
rebnut,0.5346782200009306
rebsap,0.4456120041737677
rebwoo,0.6544458265983124
recwoo,0.8827638119735237
redcro,0.5084527460947119
reevir1,0.7064622549726002
refwar,0.4714099321292986
rehwoo,0.5497888786441438
rensap,0.32842597280286556
reshaw,0.6927128858572398
robgro,0.5424890867317564
rthhum,0.6642010133530424
ruckin,0.44643378870446204
rufgro,0.6087263076926508
rufhum,0.3666277206126479
rusbla,0.3393675830902193
scatan,0.7802067654560751
scoori,0.3029546455414369
shshaw,0.3772536759093539
soogro1,0.29663016557361743
spotow,0.458001718128742
sprgro,0.033159688255632425
stejay,0.530406881113187
sumtan,0.7360231433576275
swathr,0.39177814974459446
swawar,0.8544379933526629
swtkit,0.6622519532593333
tenwar,0.5642866357383998
towsol,0.36475519897279163
towwar,0.39270925763996956
tuftit,0.7555381523236591
varthr,0.275411205077992
vauswi,0.4724295703889183
veery,0.6350399020497228
vigswa,0.33722091854864544
virwar,0.3323707528513401
warvir,0.37130667808823314
wesblu,0.44547404679739344
wesowl1,0.42135953445215235
westan,0.36672793961998484
wewpew,0.37725551856414796
whbnut,0.6338136434001143
whevir,0.751627525459612
whhwoo,0.7313699880962758
whtspa,0.5668921145538741
whwcro,0.09221651028027783
wilfly,0.35117897700456435
wilsap,0.4642787111614606
wiltur,0.616601936689043
winwre3,0.65387373666046
wlswar,0.26602410251784014
woewar1,0.8580854270823892
wooscj2,0.2932990683293326
woothr,0.7499525960351314
yebcha,0.6192744397887083
yebcuc,0.6586774566167165
yebfly,0.43018774409787053
yebmag,0.5757564406521851
yebsap,0.6822768381403949
yelwar,0.340994122521038
yerwar,0.429110836321533
yetvir,0.718891709729552
yetwar,0.7776492506729431
