species,sum_carbon
abetow,0.023941293547977693
acafly,0.7733828487180427
acowoo,0.6780299516733009
aldfly,0.6907056710015174
allhum,0.3652301840470997
ambduc,0.5512599261379751
ameavo,0.09573227549550964
amebit,0.5410933662975936
amecro,0.5438265694539188
amedip,0.8709083138351446
amegfi,0.527799176832696
amekes,0.37260165943135526
amepip,0.2934203958648255
amered,0.6249706200357298
amerob,0.5633651633368495
amewig,0.2880982782121321
amewoo,0.7005717446270211
amgplo,0.07990758812067658
amtspa,0.41292134283172155
amwpel,0.45926276077531236
anhing,0.5925679396536907
annhum,0.3946449445875828
arcter,0.016454017568321433
arcwar1,NA
astfly,0.13257834826185336
attwoo1,0.7389926025550153
babwar,0.6583675407756626
bacspa,0.6783987208284756
baisan,0.28207515269674666
baispa,0.5994810685410634
baleag,0.441089237740238
balori,0.4276144783455571
banswa,0.28442060926643165
bargol,0.4873790854295925
barswa,0.3267295539667403
batpig1,0.8740541933728281
bawwar,0.7328657108833001
bcnher,0.27566557083940424
belkin1,0.5862162744954702
belspa2,0.09236528723338466
belvir,0.26283207446545553
benthr,5.474760989727656e-4
bewwre,0.22333865171243872
bkbcuc,0.7474684687699791
bkbmag1,0.5029778859086883
bkbplo,0.16726834638529375
bkbwar,0.7684777620219762
bkbwoo,0.9820695718344155
bkcchi,0.7214343110876928
bkchum,0.1421304537837193
bkcspa,0.263619639839213
bkhgro,0.5341584818354265
bknsti,0.1284885756684313
bkpwar,0.6000950843387525
bktgna,0.0025335654648444006
bktspa,0.02121085390868399
bkwvir,0.5063056541639526
blctit4,0.25410459052713463
blkpho,0.17399554897238545
blksco2,0.05423753113045897
blkswi,0.8229527416304876
blkter,0.30987427842395243
blkvul,0.5656426862610189
blugrb1,0.37666743810588876
blujay,0.592956506098907
bncfly,0.04840565991071344
bnhcow,0.31703692358291535
bnhnut,0.6701334031780846
boboli,0.391900707091428
bohwax,0.6955432476601686
bongul,0.4548198294460004
borchi2,0.39373709714187277
botgra,0.6421722810175652
brant,0.2553503347901865
brdowl,0.7304604634509893
brebla,0.276564613658905
brespa,0.2617323496810464
britit,0.31043294792834786
brncre,0.755800650717557
brnowl,0.19088430442980153
brnthr,0.5369348220958949
brocow,0.045912370192879415
brthum,0.5995742756071962
brwhaw,0.5344177140305079
btbwar,0.8508703802364952
btnwar,0.7723064634101887
btywar,0.43977592707740004
bubsan,0.07712967496103573
buffle,0.46608416787551277
buggna,0.56644628772255
buhvir,0.7468492467652821
bulori,0.25020318538422825
burowl,0.39743786156539884
bushti,0.337577498031706
buwtea,0.2802679330592546
buwwar,0.7735185782423056
cacgoo1,0.3126754698945796
cacwre,0.004332025242462123
calgul,0.14549947688780618
calhum,0.7278252228900235
calqua,0.4556242488194231
calthr,0.6374334318372803
caltow,0.5359585226448189
camwar,0.7625441551936816
cangoo,0.4405330397715271
cantow,0.03227692987388764
canvas,0.4703032513146204
canwar,0.7727243062638189
canwre,0.2769457973322105
carchi,0.704469980923534
carwre,0.6741102624290295
casfin,0.7305095011891583
caskin,0.10976550020931868
casspa,0.1252297468287522
caster1,0.3711112161252288
casvir,0.6731633278479925
categr,0.4325917487773082
cavswa,0.15182099196333665
cedwax,0.555329731610785
cerwar,0.9364678754155422
chbchi,0.8903287758602154
chclon,0.35390165047394884
chirav,0.04279251806053708
chispa,0.5055628091229558
chiswi,0.5621925939534709
chswar,0.782931056269175
chwwid,0.7097581854534454
cintea,0.15881165787254198
clagre,0.2674320386169259
clanut,0.8434460193171114
clcspa,0.3782006924123453
cliswa,0.3419731195012763
cogdov,0.2772174736885747
comgal1,0.5548997188634153
comgol,0.4729788753475081
comgra,0.37917119949766426
comloo,0.630795182571287
commer,0.6153362656197261
comnig,0.553606788123453
compoo,0.4014095195095222
comrav,0.3731948534195384
comred,0.39603029217136787
comter,0.21401239944145445
comyel,0.49727882534581225
conwar,0.8008094435737956
coohaw,0.41436551781823283
corfly,0.785554190076625
coshum,0.08134540291245429
coukin,0.06802174707049957
cowscj1,0.527496202910477
crithr,0.02343646720328252
cubthr,0.008166684601644448
daejun,0.5284152876881509
dickci,0.2978726315675574
doccor,0.4231383361447527
dowwoo,0.6243542826950801
dunlin,0.21930807554497328
dusfly,0.6779572424370717
dusgro,0.910265379813822
eargre,0.12290053883103226
easblu,0.6120143601394998
easkin,0.5069335007850453
easmea,0.36748647827779335
easowl1,0.65126157080827
easpho,0.6195488528446493
eastow,0.698819824379093
easwpw1,0.8774063605845559
eawpew,0.6196564488845127
evegro,0.8804431351137123
ferhaw,0.33781469839225897
fiespa,0.5496935792392352
fiscro,0.5609852193291838
forter,0.4596214745618923
foxspa,0.5619577424258964
fragul,0.5004932970200722
fuwduc,0.25766046517241037
gadwal,0.33663721456940754
gamqua,0.007020461055844862
gbbgul,0.18997080629181617
gilfli,4.754238070745487e-4
gilwoo,0.0053926687069179025
gloibi,0.5117518475867192
gnttow,0.4547656000203115
gnwtea,0.2661101482438013
gockin,0.7471006748765161
gocspa,0.5529904705285684
gofwoo,0.0932018817509288
goleag,0.577065628866548
gowwar,0.7743433184015676
graspa,0.5247966851028844
grawar,0.6513718626260685
grbani,0.05312559974720443
grbher3,0.3952261596437623
grcfly,0.6006126775470675
greegr,0.3617052273349457
greroa,0.11009560820617992
gresca,0.2673258307427596
greyel,0.20076675779490483
grhowl,0.38668235124775485
grnher,0.48836624041256727
grnjay,0.057281487901491346
grpchi,0.6788112815578344
grtgra,0.10473193435558725
