species,sum_carbon
abetow,0.023941293547977693
acafly,0.7734335141186652
acowoo,0.678115014694589
aldfly,0.5259990907080528
allhum,0.36232705619649863
ambduc,0.5618855464476606
ameavo,0.08439192573111323
amebit,0.5417484352469921
amecro,0.542905795306126
amedip,0.8759933263708461
amegfi,0.5275253090316143
amekes,0.37414138194430313
amepip,0.2529554926059018
amered,0.6249886923077725
amerob,0.551114216367008
amewig,0.2721634562705826
amewoo,0.7005834480673407
amgplo,0.07683986314358748
amtspa,0.3633345078577461
amwpel,0.4518051697220593
anhing,0.5921144416615363
annhum,0.3955289132613089
arcter,0.08212472126313841
arcwar1,0.0471662841844136
astfly,0.13259252130200738
attwoo1,0.7426250469915772
babwar,0.6579905169818581
bacspa,0.6784064929363609
baisan,0.2815091499313629
baispa,0.6032963817152428
baleag,0.40728836452065487
balori,0.4276572814384596
banswa,0.26387287821894523
bargol,0.4817851685504043
barswa,0.3268307748609973
batpig1,0.8748161531608574
bawwar,0.7330512887698335
bcnher,0.27898213642414493
belkin1,0.5856941936459066
belspa2,0.09236006588982804
belvir,0.262833186525091
benthr,5.472912280310993e-4
bewwre,0.22356393338037606
bkbcuc,0.7471611243008194
bkbmag1,0.5027895987919005
bkbplo,0.1661889097445428
bkbwar,0.7684787715416478
bkbwoo,0.9842455187533723
bkcchi,0.7223349421985503
bkchum,0.14212973399456497
bkcspa,0.263619639839213
bkhgro,0.5349837066032497
bknsti,0.12361976552065679
bkpwar,0.45240048776245123
bktgna,0.0025332199373053754
bktspa,0.02124146396595511
bkwvir,0.5504562907312902
blctit4,0.2541422067277779
blkpho,0.17434847445276347
blksco2,0.052521815296774965
blkswi,0.7965519338702194
blkter,0.31210635015577937
blkvul,0.5660240565952767
blugrb1,0.3769651031492227
blujay,0.5911050974910104
bncfly,0.048681747603041003
bnhcow,0.3171048190760515
bnhnut,0.6718148203357543
boboli,0.39303936692558517
bohwax,0.6624573050538043
bongul,0.4490523660226682
borchi2,0.3964150248014073
botgra,0.6456995777175507
brant,0.018312018619405693
brdowl,0.7309673169448972
brebla,0.2763965402773739
brespa,0.2617110156474687
britit,0.31043294792834786
brncre,0.7509174463319548
brnowl,0.19130494323160363
brnthr,0.5370833526708481
brocow,0.04708533395594516
brthum,0.5996130644623308
brwhaw,0.5328817821953601
btbwar,0.85212004793944
btnwar,0.7722652854213939
btywar,0.4414252462775959
bubsan,0.0763659171586113
buffle,0.45323443545291076
buggna,0.5667610904783649
buhvir,0.747694346371726
bulori,0.2501466724916177
burowl,0.39770090822203885
bushti,0.33773866451528756
buwtea,0.2813953183364525
buwwar,0.7736040222924443
cacgoo1,0.2682332472052491
cacwre,0.004356939052399866
calgul,0.1845919830708207
calhum,0.728431726456541
calqua,0.4556846810674333
calthr,0.6377940506847608
caltow,0.5360873222103919
camwar,0.761168527035383
cangoo,0.44050732066189024
cantow,0.03227692987388764
canvas,0.4716463578597204
canwar,0.7730581980017268
canwre,0.27696180265294146
carchi,0.7047169240048632
carwre,0.6745372226470985
casfin,0.7323807328142573
caskin,0.10976614050611766
casspa,0.12524814745477642
caster1,0.35502895789857547
casvir,0.6756347373076919
categr,0.432856600048016
cavswa,0.15222360940455681
cedwax,0.5556120267793805
cerwar,0.9364766220398835
chbchi,0.8990346872980339
chclon,0.35456673280633494
chirav,0.04281576723616354
chispa,0.5061418168349845
chiswi,0.562219620488845
chswar,0.7832247531962443
chwwid,0.7103114991475578
cintea,0.15508716885528395
clagre,0.2682841227899344
clanut,0.8450187252398864
clcspa,0.3786786658391446
cliswa,0.3346039148897424
cogdov,0.2782145552852833
comgal1,0.5577548195763677
comgol,0.44839159557424596
comgra,0.37931909308354433
comloo,0.5139955138107517
commer,0.5865314879455501
comnig,0.553378120007758
compoo,0.40157498522797863
comrav,0.3459729536573114
comred,0.3442524121187699
comter,0.19176355268645118
comyel,0.4979286801710603
conwar,0.8017699595770331
coohaw,0.415778902088185
corfly,0.7862841925077944
coshum,0.08134194641316839
coukin,0.06878417499470046
cowscj1,0.5277364059745722
crithr,0.02343441008906666
cubthr,0.008209970055656669
daejun,0.5208515909760395
dickci,0.2979734252069596
doccor,0.39966163070205774
dowwoo,0.6246859295000462
dunlin,0.20961515552905718
dusfly,0.6794095226856278
dusgro,0.9112006034782922
eargre,0.10935799631672309
easblu,0.6122432291316318
easkin,0.5075535759039896
easmea,0.36772128147401917
easowl1,0.6519210150055703
easpho,0.6199507723840092
eastow,0.699068647620231
easwpw1,0.8774161790841917
eawpew,0.6198162203421127
evegro,0.8824583051923535
ferhaw,0.337830303036883
fiespa,0.5497097127225081
fiscro,0.563529392235985
forter,0.4659180385287982
foxspa,0.3903786476871107
fragul,0.49376601261626574
fuwduc,0.2603728527934379
gadwal,0.33215411989205956
gamqua,0.007019870744670698
gbbgul,0.18900414337401905
gilfli,4.754238070745487e-4
gilwoo,0.0053926687069179025
gloibi,0.513449339941923
gnttow,0.45493959300609754
gnwtea,0.2534085771494654
gockin,0.7442021090434503
gocspa,0.3983027709515019
gofwoo,0.09350220815736066
goleag,0.29482801971373884
gowwar,0.7729532234467011
graspa,0.5252696860517146
grawar,0.6513718626260685
grbani,0.05506980705109754
grbher3,0.39606465713804084
grcfly,0.6010840843571614
greegr,0.37096006346629906
greroa,0.11020461908100287
gresca,0.214475259678363
greyel,0.18814636957888986
grhowl,0.38720575831284343
grnher,0.4914063501023591
grnjay,0.057626363031886285
grpchi,0.6788112815578344
grtgra,0.10550785308322697
grycat,0.5481354239050837
gryfly,0.29738740622696747
gryjay,0.5182617259422795
grykin,0.24458572309686133
gryvir,0.08467469653338355
gwfgoo,0.1524829596353807
gycthr,0.20263985940860785
haiwoo,0.7517682733904816
hamfly,0.7167828802743179
harduc,0.11170929953531221
harspa,0.371898730178414
henspa,0.4810841996032943
heptan,0.38802937944264926
hergul,0.6059694657996371
herthr,0.6523674243200217
herwar,0.8392688455581051
hoared,0.06782984698717276
hoomer,0.5636302180992674
hooori,0.06995861974576201
hoowar,0.8053982995748963
horgre,0.4364506431693602
horlar,0.2639619677832802
houfin,0.13714916148335682
houwre,0.4704086013927722
hrshaw,0.03128055918088535
hudgod,0.19634533769465684
hutvir,0.7354121440420442
incdov,0.10797711907127905
indbun,0.5782335298312087
juntit1,0.1475853957344384
kenwar,0.8214019221999955
killde,0.2580329564931354
kineid,2.8252184485666465e-4
kinrai4,0.7264506283105594
labwoo,0.1007073243100578
laplon,0.28122307661929713
larbun,0.2540078996235358
larspa,0.3029317361707258
lawgol,0.34095755849811393
lazbun,0.4592072180442077
leabit,0.5439402670812656
leafly,0.5362854246455558
leasan,0.165867823592739
lecspa,0.2523894052232234
lecthr,5.862228899786714e-4
lesgol,0.22878296879224003
lesnig,0.00903432062730225
lessca,0.4181224775869059
lesyel,0.1797597706034593
lewwoo,0.6176649555789808
libher,0.4330618983573028
limpki,0.6051235891898266
linspa,0.37747443554018933
lobcur,0.15731399761403375
lobdow,0.17284564665228638
lobthr,0.0671741486294195
loeowl,0.3158581314693403
logshr,0.23607130066214754
lotduc,0.13406609087750698
louwat,0.8304847923945213
lucwar,0.017806707344341532
macwar,0.5575101620966691
magwar,0.6627187882048364
mallar3,0.3767003017615096
margod,0.2709867963982413
marwre,0.2944033744500505
mcclon,0.3072081043927448
merlin,0.28251901035997395
mewgul,4.761285072163446e-4
mexjay4,0.2963926197226101
miskit,0.3996317270967975
motduc,0.4650002848833523
moublu,0.34058523264116936
mouchi,0.8580630656504487
moudov,0.36305208778200004
mouplo,0.14429163943017898
mouqua,0.9148281368099695
mouwar,0.8012516283019839
naswar,0.5808839205213644
nopowl,0.925984951807493
norbob,0.3468424241446872
norcar,0.5492963515362957
norfli,0.5346602840572352
norgos,0.3393271483985323
norhar2,0.2914405515273919
normoc,0.3171266488550655
norpar,0.7397180317878318
norpin,0.2611565594222523
norsho,0.2151498241744645
norshr4,0.3209442365294013
norwat,0.41766880770711645
nrwswa,0.39047306038239793
nstspa,0.24887481522313012
nswowl,0.75058353551981
nutwoo,0.45132502930664486
oaktit,0.6666531404725902
olispa,0.062255442181594844
olsfly,0.5250786038308237
orcori,0.4929528461410926
orcwar,0.4065874130851971
osprey,0.5289035166644531
ovenbi1,0.8578869838668903
pacwre1,0.8124947003937124
pagplo,0.0039040801786214274
paibun,0.3041231412691956
palwar,0.5526901702041735
pasfly,0.6921856974461278
pecsan,0.12076182425853296
perfal,0.26729989845380353
phaino,0.07848456844436658
phivir,0.6140571525860006
pibgre,0.43393395881380936
pilwoo,0.7982849628699711
pingro,0.3545225815301608
pinjay,0.12678334846017947
pinsis,0.6407574120442661
pinwar,0.7227098417608802
plsvir,0.3977820855604808
prafal,0.3610502974478642
prawar,0.7545228232173755
prowar,0.6913008657445348
purfin,0.6848563766721334
purgal2,0.6882970915287567
purmar,0.38888222576806986
pursan,0.15251840822418217
pygnut,0.7990821608867917
pyrrhu,0.02817781896373628
rebmer,0.30391455110659416
rebnut,0.8257722849599725
rebsap,0.8306956089296591
rebwoo,0.6230678968827625
recwoo,0.8300104693598822
redcro,0.8556729957912239
redhea,0.3611949865132296
redkno,0.24175746875654663
reevir1,0.76755903771478
refwar,0.8936294006431353
rehwoo,0.5158778849330039
rengre,0.3528423598911756
renpha,0.053927353170547115
rensap,0.5689340561849869
reshaw,0.6407279873054201
rethaw,0.398653296469492
retloo,0.13368253166395117
rewbla,0.3114297567714941
ribgul,0.3574950726100301
rinduc,0.409171076721695
robgro,0.5907167650870492
rocsan,0.03707174816482317
rocwre,0.33167318850376315
rolhaw,0.37550726134011736
rosgoo,0.21435218903802683
rosspo1,0.4444645558764142
rthhum,0.6589751428504487
ruckin,0.544379138728845
rucspa,0.20765238985109313
rudduc,0.3564789635868158
rudtur,0.16777214840636967
rufgro,0.9420992062179732
rufhum,0.5685351218099547
rusbla,0.42098009194606045
saggro,0.6675812869589581
sagspa1,0.11268998982776024
sagthr,0.2863706957048501
sancra,0.2601954664323449
sander,0.2210710766776347
savspa,0.25198487301747585
saypho,0.22608685065293166
scaqua,0.024202744129411258
scatan,0.8204365196136365
scoori,0.053223929521407864
sctfly,0.25070545065928607
sedwre1,0.33882073499592835
