species,sum_cna
abetow,0.4844237409561174
acafly,0.770159960394563
acowoo,0.7117700845361642
aldfly,0.5033004178205438
allhum,0.32029245055291966
ambduc,0.5038556637207225
ameavo,0.09780802859690915
amebit,0.4138625601802719
amecro,0.5315554090056187
amedip,0.364153299447608
amegfi,0.5289313730468175
amekes,0.38725048326131795
amepip,0.3174389336455342
amered,0.5419330907472385
amerob,0.5219162954800369
amewig,0.295845825949724
amewoo,0.648145831442113
amgplo,0.10310113927545772
amtspa,0.3756570222212958
amwpel,0.403300922992333
anhing,0.5785388851427413
annhum,0.5333043247534128
arcter,0.9329633512444957
arcwar1,NA
astfly,0.3514986187836466
attwoo1,0.19341817524167482
babwar,0.5962246524752821
bacspa,0.8458575990566786
baisan,0.2832269847778268
baispa,0.2961210619554855
baleag,0.2944974993374778
balori,0.43332566262719574
banswa,0.24937490481207064
bargol,0.32980137652127084
barswa,0.38675841584258386
batpig1,0.6219322719452336
bawwar,0.6472130977796184
bcnher,0.3105979502653149
belkin1,0.5305161488589079
belspa2,0.18654139323971464
belvir,0.5412159152277991
benthr,0.20373568562168032
bewwre,0.4344668346673508
bkbcuc,0.5470683710204206
bkbmag1,0.2576421495478273
bkbplo,0.24916596941101377
bkbwar,0.6347757083653437
bkbwoo,0.43804275078393573
bkcchi,0.5402727533160618
bkchum,0.4498038214593065
bkcspa,0.4132247441118224
bkhgro,0.42660769336155907
bknsti,0.1604884624159244
bkpwar,0.5378853461925761
bktgna,0.22575890134034182
bktspa,0.2300285439031141
bkwvir,0.16978485598747284
blctit4,0.631908236943076
blkpho,0.3859761205995156
blksco2,0.5782339178670007
blkswi,0.5003371465018489
blkter,0.36163778141745295
blkvul,0.7067791740560352
blugrb1,0.5133781243492166
blujay,0.5815728273613117
bncfly,0.3262771254117246
bnhcow,0.3725729290834421
bnhnut,0.7562763970312005
boboli,0.3481776850195556
bohwax,0.21603262324716788
bongul,0.44999704272543806
borchi2,0.018404608998410232
botgra,0.35703841192764685
brant,0.7301538368557217
brdowl,0.709635735257683
brebla,0.3367440571662535
brespa,0.20504478709625798
britit,0.45616382701700786
brncre,0.5604637743973928
brnowl,0.3610061842559543
brnthr,0.5451724865259835
brocow,0.2686468959926068
brthum,0.37681426945006624
brwhaw,0.6492523172676283
btbwar,0.6985109996907826
btnwar,0.6545614505473252
btywar,0.33615019766450566
bubsan,0.2400169738743858
buffle,0.3962189384833956
buggna,0.6140610232922095
buhvir,0.6605073368328043
bulori,0.35463552042814606
burowl,0.3975388702438265
bushti,0.30321578586637604
buwtea,0.2909649659575743
buwwar,0.7453807894253849
cacgoo1,0.29970860775346264
cacwre,0.32589563714559944
calgul,0.11970725745105004
calhum,0.4406605339333516
calqua,0.48001521670021496
calthr,0.723773097427511
caltow,0.6605641832567244
camwar,0.6648596980176755
cangoo,0.3656156440481046
cantow,0.46600445175317873
canvas,0.37276400116231506
canwar,0.56496349093461
canwre,0.38718413869440127
carchi,0.7567753362038445
carwre,0.719841209561342
casfin,0.32321794662157277
caskin,0.34103984431056367
casspa,0.4320403314288297
caster1,0.4774340487493589
casvir,0.4750734285225988
categr,0.5993222155512663
cavswa,0.5581533202569342
cedwax,0.5762766622669118
cerwar,0.9057385614061788
chbchi,0.5557854753383147
chclon,0.37374672269050435
chirav,0.32734636211043266
chispa,0.507920222076127
chiswi,0.5708433416575378
chswar,0.6495007152867575
chwwid,0.8235188815213963
cintea,0.17631283353778904
clagre,0.34975317635578484
clanut,0.25787288767957595
clcspa,0.43218561373657055
cliswa,0.3661460447314473
cogdov,0.49469558981876105
comgal1,0.5072081236408343
comgol,0.306649288840804
comgra,0.347332587374427
comloo,0.5284928741472292
commer,0.4686345902541287
comnig,0.467869910794494
compoo,0.3245190706413885
comrav,0.2367356904754944
comred,0.17972235978611945
comter,0.6803052651050017
comyel,0.4472188905481409
conwar,0.40306867849700545
coohaw,0.3908416814199569
corfly,0.4034299542146478
coshum,0.21668935996340366
coukin,0.32182926274840895
cowscj1,0.59972690777591
crithr,0.278871828782826
cubthr,0.4005220291396325
daejun,0.4587376401938981
dickci,0.3807015828054067
doccor,0.5160298582442593
dowwoo,0.6114550252741209
dunlin,0.3380641663894434
dusfly,0.32444333822867355
dusgro,0.2868186078760573
eargre,0.07590593823267495
easblu,0.6571384488257559
easkin,0.46011704968794453
easmea,0.5017768082782232
easowl1,0.6823172742708304
easpho,0.6704645317114253
eastow,0.7098219665638581
easwpw1,0.8341517875973592
eawpew,0.6073156576520837
evegro,0.5491160649241937
ferhaw,0.34831376550393367
fiespa,0.5942235387792105
fiscro,0.5887192144839739
forter,0.4705881774093821
foxspa,0.47162385877222146
fragul,0.48356768758249963
fuwduc,0.2164195218535152
gadwal,0.31464341081650643
gamqua,0.2094443521929179
gbbgul,0.7658976430341387
gilfli,0.22478312034581904
gilwoo,0.3241515751251427
gloibi,0.5541594794671687
gnttow,0.24972195126131047
gnwtea,0.23273252292003477
gockin,0.5819403386856958
gocspa,0.4387525321961545
gofwoo,0.41050059563065133
goleag,0.30650559582947523
gowwar,0.6461861572980179
graspa,0.502391475151274
grawar,0.4325946891012151
grbani,0.16843539973924493
grbher3,0.41466349107916045
grcfly,0.6269814484068998
greegr,0.3641333533744677
greroa,0.45776509667666687
gresca,0.31225572541315494
greyel,0.2122529029439919
grhowl,0.36741009816019954
grnher,0.5083808136088948
grnjay,0.3114404043635659
grpchi,0.6669225863536212
grtgra,0.30698559442902207
grycat,0.5152805027128182
gryfly,0.18838111524197654
gryjay,0.1131647495626944
grykin,0.30303474456468393
gryvir,0.23719350268142136
gwfgoo,0.14742590633256775
gycthr,0.6003417949233705
haiwoo,0.5801715233376394
hamfly,0.44137092962897484
harduc,0.43125368367315753
harspa,0.42845452756727864
henspa,0.5028675463685295
heptan,0.4405742747680321
hergul,0.252679571306353
herthr,0.5846304952856762
herwar,0.6114188983624524
hoared,0.16726201756355996
hoomer,0.45183536734663976
hooori,0.33470580456030063
hoowar,0.878447357873131
horgre,0.46185280360988124
horlar,0.23934052574160875
houfin,0.35280241392061384
houwre,0.42353437695662755
hrshaw,0.3105104130213192
hudgod,0.2122865821946699
hutvir,0.605495459615554
incdov,0.3719654210793806
indbun,0.5894758897776757
juntit1,0.2253281575366941
kenwar,0.8521154976849524
killde,0.27200408508379814
kineid,0.4776534299157902
kinrai4,0.46062185100162356
labwoo,0.4399444606399783
laplon,0.3060255064755872
larbun,0.42700234877521726
larspa,0.44047257355192093
lawgol,0.5395800770134862
lazbun,0.31393277965122923
leabit,0.3781660264643101
leafly,0.4535687449854342
leasan,0.21381392780722297
lecspa,0.2725304236913648
lecthr,0.06244961051083919
lesgol,0.3986910573999971
lesnig,0.29293833945694514
lessca,0.36546919923836363
lesyel,0.15257834166649806
lewwoo,0.3827892264504431
libher,0.434092906604045
limpki,0.6351991415891121
linspa,0.3730379058270904
lobcur,0.23728228828587217
lobdow,0.18294890002724407
lobthr,0.35661449360941333
loeowl,0.2163490984963986
logshr,0.35220836570342584
lotduc,0.5402166932267756
louwat,0.8454885767255829
lucwar,0.2567749752812656
macwar,0.3470508999111881
magwar,0.5656685935671284
mallar3,0.3153725768276585
margod,0.22692482363194816
