species_code,sum
allhum,0.3204194215730283
amgplo,0.07110699930926796
bacspa,0.5323772821760997
baispa,0.18845016654454838
benthr,8.760628998061293e-5
bkbcuc,0.6848004039933447
bkcspa,0.06534671945646409
blksco2,0.04989679024032616
blkswi,0.7552749407621349
boboli,0.3216558055512392
bubsan,0.045508951096294936
canwar,0.7209642728122612
cerwar,0.9218641790824949
chclon,0.0959253559716372
chiswi,0.4529015436499968
clagre,0.1233189161220255
easwpw1,0.8076177876328334
evegro,0.7365508306025941
gbbgul,0.1752189563132971
gowwar,0.6303124917748928
grawar,0.24197692512025437
harspa,0.2500835381007933
henspa,0.43414970727017504
hudgod,0.18077723657092715
kineid,0.2986361384500924
kinrai4,0.669349967976193
lecspa,0.20615807376521955
lecthr,0
lesyel,0.13587641316045504
lobdow,0.11128647507084792
mcclon,0.012673130428859647
motduc,0.39798183619763794
mouplo,0.004296119432183332
mouwar,0.7090538898716972
olsfly,0.4014453884985335
pecsan,0.10146219815950522
pinjay,0.009913254779824854
prawar,0.6438602296313513
redkno,0.2603067681682094
rehwoo,0.33937448892407857
rocsan,0.08349447945701627
rudtur,0.32630188821163486
rufhum,0.3594043891961737
saggro,0.09316036169822439
semsan,0.2409153059036937
shbdow,0.3161275827120191
snoowl1,0.1529837733992132
sprpip,0.14283626144579542
stisan,0.17598068376493828
surfbi,0.14705172690378276
tribla,0.01775362051103002
wantat1,0.124636766508047
wesgre,0.2162463180077394
whimbr,0.13307809606834375
woothr,0.6826365428617103
yebloo,0.1891636896689306
yebmag,0.09525438417040277
