species_code,sum
ambduc,0.5618855464476606
ameavo,0.08439192573111323
amebit,0.5417484352469921
amedip,0.8759933263708461
amepip,0.2529554926059018
amewig,0.2721634562705826
amgplo,0.0768398631435875
amtspa,0.3633345078577461
amwpel,0.4518051697220593
anhing,0.5921144416615363
arcter,0.08212472126313841
arcwar1,0.0471662841844136
baisan,0.2815091499313629
baleag,0.40728836452065487
bargol,0.4817851685504043
bcnher,0.27898213642414493
belkin1,0.5856941936459066
bkbplo,0.1661889097445428
bknsti,0.12361976552065679
blkpho,0.17434847445276347
blksco2,0.052521815296774965
blkter,0.31210635015577937
bongul,0.4490523660226682
botgra,0.6456995777175507
brant,0.018312018619405693
bubsan,0.0763659171586113
buffle,0.45323443545291076
buwtea,0.2813953183364525
cacgoo1,0.2682332472052491
calgul,0.1845919830708207
cangoo,0.44050732066189024
canvas,0.4716463578597204
caster1,0.35502895789857547
categr,0.432856600048016
cintea,0.15508716885528395
clagre,0.2682841227899344
comgal1,0.5577548195763677
comgol,0.44839159557424596
comloo,0.5139955138107517
commer,0.5865314879455501
comred,0.3442524121187699
comter,0.19176355268645118
doccor,0.39966163070205774
dunlin,0.20961515552905718
eargre,0.10935799631672309
forter,0.4659180385287982
fragul,0.4937660126162657
fuwduc,0.2603728527934379
gadwal,0.33215411989205956
gbbgul,0.18900414337401905
gloibi,0.513449339941923
gnwtea,0.2534085771494654
gocspa,0.3983027709515019
grbher3,0.39606465713804084
greegr,0.37096006346629906
gresca,0.214475259678363
greyel,0.18814636957888986
grnher,0.4914063501023591
gwfgoo,0.1524829596353807
harduc,0.11170929953531221
harspa,0.371898730178414
hergul,0.6059694657996371
hoared,0.06782984698717276
hoomer,0.5636302180992674
horgre,0.4364506431693602
hudgod,0.19634533769465684
kineid,2.8252184485666465e-4
kinrai4,0.7264506283105594
laplon,0.2812230766192971
leabit,0.5439402670812656
leasan,0.165867823592739
lessca,0.41812247758690585
lesyel,0.1797597706034593
libher,0.4330618983573028
limpki,0.6051235891898266
lobdow,0.17284564665228638
lotduc,0.13406609087750698
mallar3,0.3767003017615096
margod,0.2709867963982413
marwre,0.2944033744500505
mewgul,4.761285072163446e-4
motduc,0.4650002848833523
norpin,0.2611565594222523
norsho,0.2151498241744645
norshr4,0.3209442365294013
nstspa,0.24887481522313012
osprey,0.5289035166644531
pagplo,0.0039040801786214274
pecsan,0.12076182425853296
pibgre,0.43393395881380936
purgal2,0.6882970915287567
pursan,0.15251840822418217
rebmer,0.30391455110659416
redhea,0.3611949865132296
redkno,0.24175746875654663
rengre,0.3528423598911756
renpha,0.053927353170547115
retloo,0.13368253166395117
ribgul,0.3574950726100301
rinduc,0.409171076721695
rocsan,0.03707174816482317
rolhaw,0.37550726134011736
rosgoo,0.21435218903802686
rosspo1,0.4444645558764142
rudduc,0.3564789635868158
rudtur,0.16777214840636967
sancra,0.2601954664323449
sander,0.2210710766776347
semplo,0.2466220559542496
semsan,0.2726257001389385
shbdow,0.33759203420317835
smilon,0.2204966987381285
snobun,0.24387020746416527
snoegr,0.4160465048927042
snogoo,0.27759121762314715
snoowl1,0.16207107230155426
solsan,0.3212412237104604
sora,0.29481663208085174
sposan,0.34490602649707824
steeid,1.76208651083698e-5
stisan,0.23346648609678386
surfbi,0.09432079160586682
sursco,0.20587038520582202
swaspa,0.49373608971816196
tribla,0.030304235926905676
triher,0.5757740490786531
truswa,0.46899242932605
tunswa,0.24042309072986226
virrai,0.332488128570268
wantat1,0.04784124931717315
wesgre,0.4835739079566215
wessan,0.1770432375991212
whfibi,0.18489829656590956
whiibi,0.5145460237821489
whimbr,0.11708613701821147
whrsan,0.2382046930553492
whwsco2,0.1622661447368815
willet1,0.3362899953563345
wilpha,0.08933830159798742
wilpta,0.05272252907484898
wilsni1,0.26407626927067324
wooduc,0.47656470347150837
woosto,0.47772763445459887
y00475,0.3672223384248886
yebloo,0.006384482284019555
yehbla,0.16055781962230292
