species_code,sum
ambduc,0.5237640776261276
ameavo,0.04043761934880283
amebit,0.44366333937839864
amedip,0.7227642099836942
amepip,0.15868498918171214
amewig,0.1493079349492427
amtspa,0.2452689350545718
amwpel,0.3361274294942125
anhing,0.49929697921102445
arcter,0.015066493811900727
arcwar1,NA
baisan,0.10676538768025745
baleag,0.3051461384574701
bargol,0.3673904716294172
bcnher,0.2209066471561627
belkin1,0.45203317072288485
bkbplo,0.1464170681361363
bknsti,0.07346443151956827
blkpho,0.12426307189545582
blkter,0.25301226092093565
bongul,0.3646966381749568
botgra,0.5994190999228977
brant,0.2326058928980997
buffle,0.32644189154251957
buwtea,0.18845844198182388
cacgoo1,0.20216194607386972
calgul,0.056077136237937975
cangoo,0.3028670315618316
canvas,0.3041852202662315
caster1,0.30112564474653425
categr,0.26250164674291654
cintea,0.03625589146737891
comgal1,0.4805927692736174
comgol,0.3028670895166027
comloo,0.48813749454299327
commer,0.4513273049298181
comred,0.2481607278145707
comter,0.18875454863090724
doccor,0.33315492844647565
dunlin,0.20562912858721966
eargre,0.03965723732038477
forter,0.3699283704689478
fragul,0.41528035210619435
fuwduc,0.22637273310769856
gadwal,0.21458344910736754
gloibi,0.43183238569245563
gnwtea,0.1670361179901707
gocspa,0.4524278843359335
grbher3,0.2819283133556496
greegr,0.29740237529038227
gresca,0.2151048633033727
greyel,0.13807676893495202
grnher,0.3865300879496303
gwfgoo,0.12593757179739543
harduc,0.08371288477871534
hergul,0.6067069071086637
hoared,0.24016645380032564
hoomer,0.44969874881815963
horgre,0.39095302281936917
laplon,0.13307619576590718
leabit,0.4795653184929769
leasan,0.12718806608806776
lessca,0.3344245913262155
libher,0.3602253676420749
limpki,0.5171200511480123
lotduc,0.20288171809644884
mallar3,0.24590831851661576
margod,0.12302976026081924
marwre,0.21146263834015877
mewgul,0.4070097617805004
norpin,0.16317341175836458
norsho,0.13654980895342983
norshr4,0.22422127234526812
nstspa,0.20838512945540394
osprey,0.45462003492621506
pagplo,0.22551415711495792
pibgre,0.28895161779476286
purgal2,0.6121721898355565
pursan,0.1123428957197774
rebmer,0.3210847971683135
redhea,0.24436407376109193
rengre,0.3194668211156202
renpha,0.02827331414827188
retloo,0.16825432548493158
ribgul,0.28389127988083374
rinduc,0.30066346422685386
rolhaw,0.18648951415742676
rosgoo,0.13961343306986443
rosspo1,0.3943578746211984
rudduc,0.24022927516442794
sancra,0.1338951534025168
sander,0.17279349617530082
semplo,0.2479789066425364
smilon,0.2118941399030616
snobun,0.21794585733192876
snoegr,0.355211149245509
snogoo,0.2283294522598488
solsan,0.19484471500040695
sora,0.1958740596788613
sposan,0.21778617086687646
steeid,0.9999999850988388
sursco,0.15642377870694468
swaspa,0.41835580222418844
triher,0.5474404745993695
truswa,0.27319479812047054
tunswa,0.1757567665088878
virrai,0.20769861598406458
wessan,0.14742490020243823
whfibi,0.11446653175798857
whiibi,0.44991400259404535
whrsan,0.18302569878577613
whwsco2,0.11892085104407826
willet1,0.20640021726820335
wilpha,0.030239633708416792
wilpta,0.019120472175890413
wilsni1,0.21860693841068218
wooduc,0.3806640460478228
woosto,0.42289102905434683
y00475,0.23078568038360237
yehbla,0.06866326822451044
