species_code,sum
ambduc,0.5062751119239817
ameavo,0.08605031160042236
amebit,0.4128024735630955
amedip,0.3680366670710242
amepip,0.24393497913509377
amewig,0.25552221051741686
amgplo,0.09868943711012629
amtspa,0.317269430760883
amwpel,0.3946832305352487
anhing,0.5751460368188006
arcter,0.13015555721852967
arcwar1,0.0057090922146016965
baisan,0.2828068909398316
baleag,0.2720046300773724
bargol,0.30920997949209905
bcnher,0.3099242596206908
belkin1,0.5181180718325251
bkbplo,0.22168718402647158
bknsti,0.1532975978897002
blkpho,0.3859580248478025
blksco2,0.5474512315868607
blkter,0.37597178322387137
bongul,0.40209785837393
botgra,0.35801806744905207
brant,0.3535088122219827
bubsan,0.23761516817606998
buffle,0.35999469629006775
buwtea,0.2907429785474893
cacgoo1,0.26715648742888715
calgul,0.11690406998510516
cangoo,0.3628886676926307
canvas,0.3691619773770981
caster1,0.4965748298490311
categr,0.59929499750025494
cintea,0.17211386908591608
clagre,0.3497653353426049
comgal1,0.5031555411411412
comgol,0.2980794336213111
comloo,0.4215601672332987
commer,0.4352847426375814
comred,0.14425780186024578
comter,0.6849060686850432
doccor,0.4865817555387064
dunlin,0.3197136972810904
eargre,0.06753331970476593
forter,0.46675499487739547
fragul,0.47693759372308697
fuwduc,0.21617038814072131
gadwal,0.3096417241122965
gbbgul,0.7828427081182969
gloibi,0.5528904611004739
gnwtea,0.21403182160569345
gocspa,0.3057507446483218
grbher3,0.41393907144271225
greegr,0.3625012822003235
gresca,0.24220894759150913
greyel,0.19386770792507413
grnher,0.506454388195344
gwfgoo,0.14249602836394068
harduc,0.4473537693751552
harspa,0.42841975762391504
hergul,0.24790474110344896
hoared,0.01900371332915618
hoomer,0.44883433636506087
horgre,0.40442365068356345
hudgod,0.19622783837410757
kineid,0.13054724180386773
kinrai4,0.4553549046414074
laplon,0.2692834840028301
leabit,0.36803405485385543
leasan,0.20768463640434842
lessca,0.35672767760649443
lesyel,0.143280481282732
libher,0.43279132793187103
limpki,0.6350661676005807
lobdow,0.1764757900890761
lotduc,0.4494524536069179
mallar3,0.30815198821682444
margod,0.22063058522815476
marwre,0.27668945796959576
mewgul,0.0900252108276618
motduc,0.3466134733469133
norpin,0.20668948834717604
norsho,0.19776188183326115
norshr4,0.18660665804131504
nstspa,0.17464240618187807
osprey,0.4245793760804908
pagplo,0.14617682169168944
pecsan,0.1171791187637665
pibgre,0.41215571950331675
purgal2,0.5021578429202376
pursan,0.8086838684673694
rebmer,0.3721315013766253
redhea,0.47413651480603797
redkno,0.48550652142268935
rengre,0.3382655742171763
renpha,0.14327734921785568
retloo,0.4235390075560186
ribgul,0.3293972649978141
rinduc,0.3518209332028279
rocsan,0.4225549073476853
rolhaw,0.2437145531054421
rosgoo,0.21005674102552085
rosspo1,0.3970251326042935
rudduc,0.3329902940617117
rudtur,0.29050892932539885
sancra,0.29563538435626596
sander,0.5260660420711192
semplo,0.22766780743020967
semsan,0.20997599343692908
shbdow,0.30915482329980465
smilon,0.25735014818751567
snobun,0.13585384755557067
snoegr,0.3611476898346533
snogoo,0.23771675734928868
snoowl1,0.134558670045827
solsan,0.2843192567235907
sora,0.26046030876400306
sposan,0.23848569115011742
steeid,0.5219018782112244
stisan,0.21056892225968235
surfbi,0.5570263051730535
sursco,0.7222287020266003
swaspa,0.4634720061301225
tribla,0.644990257552081
triher,0.45959128015790895
truswa,0.17479086906425081
tunswa,0.11998583931240198
virrai,0.3191837260933344
wantat1,0.0783409955641563
wesgre,0.5137682676930998
wessan,0.3469566056071206
whfibi,0.1603529178488322
whiibi,0.4675334342666018
whimbr,0.1731032450761587
whrsan,0.23682926499666565
whwsco2,0.49520166506453134
willet1,0.31956659733608994
wilpha,0.08290921222498898
wilpta,0.0032971441780134114
wilsni1,0.19001987534277526
wooduc,0.46341554961445475
woosto,0.4745361603359566
y00475,0.2803416363587884
yebloo,0.06732580077615213
yehbla,0.3210476984538507
