species,avg,stdev,lower95,upper95
abetow,0.09922291476897954,0.005709912388779654,0.08803148648697143,0.11041434305098766
acafly,0.1000578361350389,8.741321421518124e-4,0.09834453713642134,0.10177113513365645
acowoo,0.0997093735949524,0.0028403211444957307,0.09414234415174076,0.10527640303816403
aldfly,0.10001973913134073,8.598372842842359e-4,0.09833445805414362,0.10170502020853783
allhum,0.10049086095436544,0.007140590871636679,0.08649530284595755,0.11448641906277332
ambduc,0.1001776691834296,0.006076828514444148,0.08826708529511908,0.11208825307174013
ameavo,0.1002753195261363,0.00913600320719714,0.0823687532400299,0.1181818858122427
amebit,0.10000871048013987,8.669726257176384e-4,0.0983094441337333,0.10170797682654645
amecro,0.09995627260488185,5.903828263897208e-4,0.098799122265158,0.10111342294460571
amedip,0.10009537331294936,0.0019806533929820937,0.09621329266270445,0.10397745396319427
amegfi,0.09998070739989127,2.8013373322895613e-4,0.09943164528276252,0.10052976951702003
amekes,0.09997056327699058,3.7300380734752527e-4,0.09923947581458943,0.10070165073939173
amepip,0.10005166478230412,7.127418690288763e-4,0.09865469071900752,0.10144863884560072
amered,0.09996281445015173,4.8224267744901374e-4,0.09901761880235166,0.1009080100979518
amerob,0.0998428789831832,8.227733991520954e-4,0.09823024312084509,0.1014555148455213
amewig,0.09992049131829378,0.002381280318771542,0.09525318189350156,0.104587800743086
amewoo,0.10000457802897954,6.714041258787434e-4,0.0986886259422572,0.10132053011570187
amgplo,0.09983136108191287,0.002411433954697455,0.09510495053070586,0.10455777163311988
amtspa,0.0999744728378365,5.719535958734441e-4,0.09885344378992456,0.10109550188574845
amwpel,0.10057287783389124,0.003801691529629303,0.0931215624358178,0.10802419323196467
anhing,0.10047714074035852,0.0020988123104477415,0.09636346861188094,0.10459081286883609
annhum,0.09977150509049004,0.0018551674849427542,0.09613537682000224,0.10340763336097784
arcter,0.12010384043931197,0.15361443187029136,-0.1809804460264591,0.421188126905083
arcwar1,0,0,0,0
astfly,0.0999544797140232,7.786538176411596e-4,0.09842831823144653,0.10148064119659987
attwoo1,0.10012922333159907,0.0015273045011134465,0.09713570650941672,0.10312274015378142
babwar,0.09995004545638636,7.176986247599584e-4,0.09854335615185685,0.10135673476091588
bacspa,0.09986543994859105,0.0044030721289748,0.09123541857580045,0.10849546132138166
baisan,0.1001980922248331,0.0010561091504915155,0.09812811828986973,0.10226806615979647
baispa,0.09952222973721334,0.0018051265941578523,0.09598418161266395,0.10306027786176272
baleag,0.10012464592188915,8.344778090497713e-4,0.0984890694161516,0.1017602224276267
balori,0.09995882877634372,6.016632322627623e-4,0.09877956884110871,0.10113808871157874
banswa,0.09997813243725909,0.002616721667191306,0.09484935796956413,0.10510690690495404
bargol,0.1001290729418617,0.004165622371684467,0.09196445309336014,0.10829369279036326
barswa,0.099635948605974,0.0027379909090816186,0.09426948642417403,0.10500241078777396
batpig1,0.09974562080323522,0.0022467180408117537,0.09534205344324419,0.10414918816322626
bawwar,0.09995673890933543,5.418117208850285e-4,0.09889478793640077,0.10101868988227009
bcnher,0.10022062202589986,0.001745061536959378,0.09680030141345948,0.10364094263834024
belkin1,0.09999488194752267,3.6804564552597014e-4,0.09927351248229177,0.10071625141275356
belspa2,0.10027849106681287,0.003473135514212334,0.0934711454589567,0.10708583667466905
belvir,0.09993648501126076,0.0010128470102388914,0.09795130487119254,0.10192166515132899
benthr,0.09985854300483112,0.0035124164635391883,0.09297420673629431,0.10674287927336792
bewwre,0.09996183558912083,7.811941333745325e-4,0.09843069508770676,0.10149297609053491
bkbcuc,0.10013564422503865,0.0010175403415489642,0.09814126515560267,0.10213002329447463
bkbmag1,0.10000628899534908,8.576185257709712e-4,0.09832535668483798,0.10168722130586018
bkbplo,0.10003354771527614,0.006632087596291646,0.08703465602654452,0.11303243940400777
bkbwar,0.10000298793474548,8.364143079733108e-4,0.09836361589111779,0.10164235997837316
bkbwoo,0.09986888978169944,0.0027438946475921385,0.09449085627241885,0.10524692329098004
bkcchi,0.09998512593774239,7.924723931258363e-4,0.09843188004721576,0.10153837182826903
bkchum,0.10001368865910823,9.936810923471134e-4,0.09806607371810788,0.10196130360010858
bkcspa,0.100259458006773,0.0025242918672450307,0.09531184594697273,0.10520707006657326
bkhgro,0.10000912222683367,6.583168295956318e-4,0.09871882124082623,0.1012994232128411
bknsti,0.10036069892196528,0.006499648408588991,0.08762138804113086,0.1131000098027997
bkpwar,0.09992882254679117,6.690290588820589e-4,0.09861752559138233,0.10124011950220001
bktgna,0.09976658060034978,0.002398809143982826,0.09506491467814344,0.10446824652255611
bktspa,0.0998605042174647,0.0011707383185029963,0.09756585711319883,0.10215515132173057
bkwvir,0.10043306794902492,0.02789755108902234,0.045753867814541126,0.1551122680835087
blctit4,0.10029740936620868,0.0020878443864568476,0.09620523436875325,0.1043895843636641
blkpho,0.09988185064935358,0.0014318219420872244,0.09707547964286262,0.10268822165584454
blksco2,0.10009959586971046,0.007122674084302008,0.08613915466447852,0.11406003707494239
blkswi,0.09998050763188218,0.0038550259015762284,0.09242465686479277,0.10753635839897159
blkter,0.09983175368277757,0.003266049354970735,0.09343029694703492,0.10623321041852021
blkvul,0.10011142730113197,8.77458962988507e-4,0.0983916077336745,0.10183124686858944
blugrb1,0.10004129549531494,4.504047834831171e-4,0.09915850211968803,0.10092408887094186
blujay,0.10000952978909043,4.119020412784462e-4,0.09920220178818467,0.10081685778999619
