species,avg,stdev,lower95,upper95
abetow,0.37008035378414206,0.008821542514223502,0.352790130456264,0.3873705771120201
acafly,0.37004370362578587,0.0013301808873154638,0.3674365490866476,0.37265085816492416
acowoo,0.36997922256773264,0.004447007746087136,0.36126308738540186,0.3786953577500634
aldfly,0.3699985684650315,0.0014190397721176925,0.3672172505116808,0.37277988641838217
allhum,0.36979324633445043,0.010560603228663217,0.34909446400627053,0.39049202866263033
ambduc,0.3700663267790333,0.008921258636461588,0.35258065985156856,0.387551993706498
ameavo,0.36999425405218644,0.015211194411539597,0.34018031300556884,0.39980819509880405
amebit,0.37005528992863124,0.001665903685175233,0.3667901187056878,0.3733204611515747
amecro,0.3700057706237803,0.0010858101313252102,0.3678775827663829,0.37213395848117775
amedip,0.36974272654764573,0.0037214040361335343,0.362448774636824,0.37703667845846744
amegfi,0.3700033447966265,4.6239234994006147e-4,0.369097055790744,0.370909633802509
amekes,0.3700238050049932,5.153064472001225e-4,0.36901380436848097,0.37103380564150545
amepip,0.3699907054046826,0.0010706621383267723,0.3678922076135621,0.3720892031958031
amered,0.37001915621974135,7.963828359486743e-4,0.36845824586128195,0.37158006657820075
amerob,0.3700907258406534,0.0016115572386600308,0.3669320736528797,0.37324937802842706
amewig,0.36991365799908316,0.004040500313368427,0.36199427738488105,0.37783303861328527
amewoo,0.3700638646750997,0.0010578175166376456,0.36799054234248996,0.3721371870077095
amgplo,0.3699930539631368,0.004165288784765865,0.3618290879449957,0.37815701998127793
amtspa,0.36997948179366386,9.583810951952507e-4,0.36810105484708117,0.37185790874024655
amwpel,0.3698887090996616,0.005407247915190431,0.35929050318588834,0.38048691501343485
anhing,0.37002827746619943,0.0034300472445945485,0.3633053848667941,0.37675117006560477
annhum,0.36996408176485507,0.0030047759088782933,0.3640747209834536,0.3758534425462565
arcter,0.3806838644210935,0.20919538450508335,-0.029339089208869906,0.7907068180510568
arcwar1,0,0,0,0
astfly,0.3700017789506915,0.0011854568138205495,0.3676782835956032,0.3723252743057798
attwoo1,0.36999976516446986,0.002391737856498035,0.3653119589657337,0.374687571363206
babwar,0.37009432432274364,0.0012219217051741068,0.36769935778060236,0.3724892908648849
bacspa,0.3699595593431548,0.006595954454363181,0.3570314886126029,0.38288763007370663
baisan,0.37007535793105956,0.002022745818095611,0.3661107761275922,0.3740399397345269
baispa,0.3699199066879555,0.0029930917293671594,0.36405344689839586,0.3757863664775151
baleag,0.3699516970037208,0.0013164949117726926,0.36737136697664635,0.3725320270307953
balori,0.3699727170537177,8.860032824631231e-4,0.36823615062008996,0.37170928348734544
banswa,0.36996814811721307,0.004259325587907406,0.3616198699649146,0.37831642626951156
bargol,0.369772147164458,0.006040029477368107,0.35793368938881653,0.38161060494009946
barswa,0.370133130784397,0.005567526358129581,0.35922077912246303,0.381045482446331
batpig1,0.36988452414623885,0.003316575592026418,0.36338403598586705,0.37638501230661064
bawwar,0.3700256547792334,9.104907815355724e-4,0.3682410928474237,0.3718102167110431
bcnher,0.3701220228780112,0.002898733233728537,0.3644405057399033,0.37580354001611915
belkin1,0.3700142369109131,6.322020314232106e-4,0.36877512092932363,0.3712533528925026
belspa2,0.36995702714945733,0.0048499862682473355,0.36045105406369254,0.3794630002352221
belvir,0.37007015238536545,0.0015375516705415817,0.36705655111110397,0.3730837536596269
benthr,0.3701087081823244,0.00544124018167968,0.35944387742623224,0.38077353893841653
bewwre,0.37004907213647836,0.0012150839151371237,0.3676675076628096,0.37243063661014714
bkbcuc,0.37004837134867363,0.0018437067759615392,0.366434706067789,0.37366203662955827
bkbmag1,0.37003155925173314,0.0013117870872239197,0.36746045656077425,0.37260266194269204
bkbplo,0.37021647089858295,0.011798156541541168,0.34709208407716224,0.39334085772000366
bkbwar,0.3700508968218911,0.0013520289826690693,0.3674009200158597,0.3727008736279224
bkbwoo,0.3698185642398764,0.004100976655226249,0.361780649995633,0.37785647848411985
bkcchi,0.3700326720800108,0.0011704357173644864,0.3677386180739764,0.37232672608604517
bkchum,0.36998547590315056,0.0017670236986853504,0.36652210945372726,0.37344884235257386
bkcspa,0.36997490286914814,0.004334290820101657,0.3614796928617489,0.37847011287654736
bkhgro,0.3700121249300762,0.001149354599632389,0.3677593899147967,0.3722648599453557
bknsti,0.3700316568123688,0.01010759581058742,0.3502207690236175,0.38984254460112017
bkpwar,0.3700501502044803,0.0010502690547530703,0.36799162285716425,0.37210867755179633
bktgna,0.37027828613332064,0.0032858034339436105,0.36383811140279115,0.37671846086385014
bktspa,0.37003866644327216,0.0016143118703852257,0.3668746151773171,0.3732027177092272
bkwvir,0.3713591504684182,0.04835886979889609,0.2765757656625819,0.46614253527425453
blctit4,0.37022235312616036,0.0034815070596783517,0.36339859928919077,0.37704610696312996
blkpho,0.36993914235690634,0.002413981136905734,0.3652077393285711,0.3746705453852416
blksco2,0.36953075184642553,0.01094231251497346,0.34808381931707755,0.3909776843757735
blkswi,0.3696873964344357,0.006812182959424273,0.3563355178339641,0.3830392750349073
blkter,0.37020916136255594,0.0048485520502387905,0.3607059993440879,0.37971232338102395
blkvul,0.3700051289769646,0.0014235592764636725,0.3672149527950958,0.37279530515883336
blugrb1,0.370019963602155,7.605392656880081e-4,0.3685293066414065,0.3715106205629035
blujay,0.3700217017236417,6.519185411242055e-4,0.36874394138303823,0.37129946206424513
bncfly,0.3702079918079684,0.0030737445167882604,0.3641834525550634,0.37623253106087334
bnhcow,0.3699092993340708,0.002514277790832773,0.36498131486403856,0.374837283804103
bnhnut,0.3699251290183823,0.0024343931880843827,0.3651537183697369,0.3746965396670277
boboli,0.3701706108740204,0.003721124626210578,0.3628772066066477,0.37746401514139316
bohwax,0.37015276667822417,0.003240466975758155,0.36380145140573816,0.37650408195071017
bongul,0.3701919024213425,0.008027416417765894,0.35445816624252136,0.3859256386001636
borchi2,0.3700113484642453,0.001925820428512112,0.3662367404243616,0.37378595650412905
botgra,0.3698973895502394,0.009788980196637414,0.35071098836483006,0.3890837907356487
brant,0.3695559028028562,0.02417838343983516,0.3221662712607793,0.41694553434493314
brdowl,0.37002949461776574,0.0010776443259466312,0.36791731173891035,0.37214167749662114
brebla,0.37003976895162854,0.0011651041969044209,0.3677561647256959,0.3723233731775612
brespa,0.3700539516653255,0.0011027258501865582,0.36789260899895987,0.37221529433169115
britit,0.37001954377414586,0.008722709428393335,0.3529230332944949,0.3871160542537968
brncre,0.37000730610024024,7.812301386739722e-4,0.36847609502843925,0.3715385171720412
brnowl,0.3700045895388692,0.0029039635574615824,0.3643128209662445,0.37569635811149393
brnthr,0.36998839163384434,6.261078428313457e-4,0.3687612202618949,0.3712155630057938
brocow,0.37016593814165455,0.006519496574105324,0.35738772485640813,0.38294415142690097
brthum,0.37000799863619477,0.002226008009727265,0.3656450229371293,0.37437097433526023
brwhaw,0.36998582521921086,0.0033988663956262205,0.36332404708378346,0.37664760335463826
btbwar,0.3701022124571499,0.0019221530255730905,0.36633479252702666,0.37386963238727317
btnwar,0.37005688456213887,0.0012156353181236152,0.3676742393386166,0.37243952978566114
btywar,0.3699958120219034,0.0015136676307105344,0.36702902346571076,0.37296260057809605
bubsan,0.37014568522629704,0.008258605406856582,0.35395881862885814,0.38633255182373594
buffle,0.36996211128476125,0.0030211678003568593,0.36404062239606183,0.3758836001734607
buggna,0.3700260694248865,6.948967936653513e-4,0.3686640717093024,0.37138806714047057
buhvir,0.37001013895566454,0.001055316556850476,0.3679417185042376,0.37207855940709145
bulori,0.3700225062784004,9.92547465756013e-4,0.3680771132455186,0.37196789931128216
burowl,0.37006851064768753,0.0018248225458926779,0.3664918584577379,0.37364516283763716
bushti,0.37007620016891685,0.002049391093306692,0.36605939362603573,0.37409300671179796
buwtea,0.37012213079051337,0.0016588389802579568,0.36687080638920777,0.37337345519181897
buwwar,0.3701134996196147,0.0018724622545073688,0.3664434736007803,0.37378352563844913
cacgoo1,0.37014598241786895,0.003778881328706754,0.3627393750136037,0.3775525898221342
cacwre,0.37014570958633314,0.0024596478892964808,0.36532479972331205,0.3749666194493542
calgul,0.36872516393453364,0.05117105601485401,0.2684298941454198,0.4690204337236475
calhum,0.36999849891673614,0.0024429358123227093,0.36521034472458364,0.37478665310888865
calqua,0.3700869772962158,0.002682280258464125,0.3648297079896261,0.3753442466028055
calthr,0.3699522562092591,0.006234827312899338,0.3577319946759764,0.3821725177425418
caltow,0.3701145256421962,0.004843987425508988,0.3606203102881986,0.37960874099619385
camwar,0.37003174582309356,0.0013939853404675876,0.3672995345557771,0.37276395709041005
cangoo,0.37002385844533603,0.001153696129394671,0.3677626140317225,0.37228510285894956
cantow,0.3700501261457847,0.0032236083110441555,0.36373185385613815,0.37636839843543124
canvas,0.3693089683659339,0.018750732655351196,0.3325575323614456,0.40606040437042223
canwar,0.37003481623182827,0.0016235237058917185,0.3668527097682805,0.37321692269537604
canwre,0.3700921962175626,0.002808778328274062,0.36458699069414546,0.3755974017409798
carchi,0.37002443744589875,9.942129004154232e-4,0.3680757801610845,0.371973094730713
carwre,0.36999916604065897,9.064049154493365e-4,0.36822261240637827,0.37177571967493966
casfin,0.37004050337514655,0.0015515506025206161,0.36699946419420615,0.37308154255608694
caskin,0.3699332446081379,0.001990463629050948,0.36603193589519806,0.3738345533210778
casspa,0.369951289849753,0.001753478331186714,0.36651447232062706,0.37338810737887895
caster1,0.3709018381439449,0.014196263171507108,0.34307716232779095,0.39872651396009884
casvir,0.37002220167122657,0.0015966376238698882,0.3668927919284416,0.37315161141401154
categr,0.36991363903238683,0.005324612771886234,0.3594773979994898,0.38034988006528386
cavswa,0.37004389196269333,0.0022129820164799386,0.36570644721039264,0.374381336714994
cedwax,0.37001138791156724,5.982306518515713e-4,0.36883885583393816,0.3711839199891963
cerwar,0.3702179932754164,0.003731373745727573,0.3629045007337903,0.37753148581704243
chbchi,0.36995121992386176,0.003137014857450784,0.36380267080325823,0.3760997690444653
chclon,0.37008505021528487,0.0021330786064232676,0.36590421614669527,0.3742658842838745
chirav,0.36999751940353104,0.0032137718470132103,0.36369852658338514,0.37629651222367694
chispa,0.37000924115242784,5.038598037411095e-4,0.3690216759370953,0.3709968063677604
chiswi,0.36995639191561364,0.0034330175944608725,0.36322767743047035,0.3766851064007569
chswar,0.37002538458997064,0.001230543116977987,0.3676135200806938,0.37243724909924747
chwwid,0.3700404813124003,0.0016033774231146473,0.3668978615630956,0.373183101061705
cintea,0.37003006157004203,0.0026321844768127465,0.36487097999548906,0.375189143144595
clagre,0.36943058829838576,0.01354609554504559,0.3428802410300964,0.39598093556667513
clanut,0.3699377087146476,0.0021300136178696596,0.36576288202362306,0.37411253540567213
clcspa,0.3700152748156041,0.001026264205059287,0.3680037969736879,0.3720267526575203
cliswa,0.3700080807918293,8.161336015168335e-4,0.3684084589328563,0.3716077026508023
cogdov,0.37006228309890926,0.0034406266715273806,0.3633186548227156,0.37680591137510294
comgal1,0.3702747817777615,0.006224194689530826,0.3580753601862811,0.3824742033692419
comgol,0.37013728635804655,0.004308122362575357,0.36169336652739886,0.37858120618869423
comgra,0.369638527049822,0.01269946406149256,0.3447475774892966,0.3945294766103474
comloo,0.3701672895581468,0.004727986386425397,0.360900436240753,0.3794341428755406
commer,0.3704321545826469,0.007815279096355177,0.35511420755379075,0.385750101611503
comnig,0.3700300702509451,7.269019120455896e-4,0.3686053425033357,0.37145479799855446
compoo,0.3700438911125019,0.0014766826391566716,0.3671495931397548,0.372938189085249
comrav,0.3699859643799979,6.443727516138705e-4,0.36872299378683476,0.3712489349731611
comred,0.3699950127885049,0.0011484568034799889,0.3677440374536841,0.37224598812332566
comter,0.369608427810934,0.02621443101058932,0.31822814303017893,0.4209887125916891
comyel,0.37000991952209944,5.962297379489941e-4,0.3688413092357194,0.3711785298084795
conwar,0.37006737758020447,0.005512301777634449,0.359263266096041,0.38087148906436796
coohaw,0.3700179322443096,5.022052964607563e-4,0.3690336098632465,0.37100225462537273
corfly,0.37006450160369264,0.002373482225018829,0.36541247644265573,0.37471652676472955
coshum,0.37010305261069004,0.0032719005647164952,0.3636901275038457,0.37651597771753437
coukin,0.3701037676260435,0.005377508577373235,0.35956385081439196,0.3806436844376951
cowscj1,0.36996173844034763,0.003900236099291779,0.36231727568573574,0.3776062011949595
crithr,0.3700912620600626,0.0030248160185215047,0.3641626226637604,0.37601990145636477
cubthr,0.3701802780231092,0.002693864047746047,0.364900304489527,0.37546025155669144
daejun,0.3700069378618797,4.575990098470854e-4,0.36911004380257945,0.37090383192118
dickci,0.37000815670184917,0.0012591890910148514,0.3675401460834601,0.37247616732023825
doccor,0.37024530336026434,0.008679284712310529,0.35323390532413573,0.38725670139639295
dowwoo,0.3700151199800375,6.626562146009644e-4,0.3687163137994196,0.3713139261606554
dunlin,0.3698293078899882,0.011865367194180697,0.34657318818939403,0.39308542759058235
dusfly,0.3700150926709427,0.0012766709065628104,0.36751281769407956,0.3725173676478058
dusgro,0.36986453916817846,0.0027745981148157356,0.36442632686313964,0.3753027514732173
eargre,0.36981764329001493,0.017939615511061345,0.3346559968883347,0.40497928969169517
easblu,0.37002585554585204,7.04442090660361e-4,0.36864514904815776,0.37140656204354633
easkin,0.37003402255693557,8.235062297270474e-4,0.3684199503466706,0.37164809476720057
easmea,0.3700124487501442,0.0010213883956028513,0.36801052749476265,0.3720143700055258
easowl1,0.37004551865966656,0.0010866103355606966,0.3679157624019676,0.3721752749173655
easpho,0.3700012254260827,7.090196220064048e-4,0.36861154696695014,0.3713909038852153
eastow,0.3700277192404881,9.758947078914872e-4,0.3681149656130208,0.3719404728679554
easwpw1,0.37007389238345917,0.0019830494911244334,0.3661871153808553,0.37396066938606304
eawpew,0.3700247517032011,7.757506390478901e-4,0.36850428045066724,0.37154522295573494
evegro,0.37005037792196255,0.0015330948768272547,0.36704551196338114,0.37305524388054395
ferhaw,0.3700559635849076,0.0013173504834245342,0.3674739566373955,0.3726379705324197
fiespa,0.3700326283900864,7.586420621979407e-4,0.36854568994817843,0.37151956683199433
fiscro,0.3701473131353564,0.0025912970366218885,0.3650683709435775,0.3752262553271353
forter,0.37002893714655744,0.005902578131718639,0.3584598840083889,0.38159799028472596
foxspa,0.3699876868956458,0.0010175668966426908,0.36799325577822617,0.37198211801306547
fragul,0.3705478014621033,0.009182432586202414,0.3525502335931466,0.38854536933106004
fuwduc,0.37030259279819805,0.008144108066673794,0.3543401409875174,0.38626504460887867
gadwal,0.3700569450062107,0.001954652829690508,0.3662258254600173,0.37388806455240414
gamqua,0.3702065409858168,0.0030449214038460568,0.3642384950342785,0.37617458693735506
gbbgul,0.3693533713286178,0.017818743336022146,0.33442863439001436,0.4042781082672212
gilfli,0.3704966981608968,0.006343418976584216,0.35806359696679174,0.3829297993550019
gilwoo,0.37046901882690964,0.005203021982800773,0.3602710957406201,0.38066694191319916
gloibi,0.37016803637340157,0.007537133564421341,0.3553952545871357,0.3849408181596674
gnttow,0.37002172504954395,0.0013064718115029825,0.3674610402989981,0.3725824098000898
gnwtea,0.370012743784198,0.0029620819486454062,0.364207063164853,0.375818424403543
gockin,0.36998188513548275,7.776056548465712e-4,0.3684577780519835,0.371505992218982
gocspa,0.3699611350597138,0.0023583224317706686,0.3653388230934433,0.3745834470259843
gofwoo,0.37003936502325213,0.0033913625343136304,0.3633922944559974,0.37668643559050685
goleag,0.37004462100009355,0.0010145201556865837,0.36805616149494785,0.37203308050523926
gowwar,0.37005036159982985,0.0022542613664682893,0.365632009321552,0.3744687138781077
graspa,0.3700459757869867,0.0010918340482198841,0.36790598105247574,0.3721859705214977
grawar,0.3701460921431139,0.004692373506220002,0.3609490400709227,0.3793431442153051
grbani,0.3702904580010875,0.007977943206687937,0.3546536893159791,0.3859272266861959
grbher3,0.37000317284630946,9.30363810501617e-4,0.36817965977772626,0.37182668591489265
grcfly,0.3699914098287868,7.536006712110844e-4,0.3685143525132131,0.37146846714436055
greegr,0.37008778451965535,0.002464171433395225,0.3652580085102007,0.37491756052911
greroa,0.370080033659452,0.0020299782509607175,0.366101276287569,0.37405879103133505
gresca,0.36996871128840736,0.009271603249490909,0.3517963689194052,0.38814105365740953
greyel,0.37001262601876955,0.0019671838997666487,0.36615694557522693,0.37386830646231217
grhowl,0.3700375597777371,6.511101907873784e-4,0.36876138380379386,0.37131373575168036
grnher,0.3700070810018433,9.972095861628396e-4,0.3680525502129642,0.37196161179072246
grnjay,0.37013013837378417,0.005894800569222575,0.3585763292581079,0.38168394748946044
grpchi,0.3700405383616383,0.0034569704804936477,0.36326487621987075,0.37681620050340586
grtgra,0.37018795687396366,0.004026433878908078,0.3622961464713038,0.3780797672766235
grycat,0.3700103524738205,7.465641029108165e-4,0.36854708683211534,0.3714736181155257
gryfly,0.3700174560686641,0.0012785659449062342,0.36751146681664787,0.3725234453206803
gryjay,0.3700100606049088,0.0014622543300889424,0.3671440421179345,0.37287607909188314
grykin,0.37166138263530774,0.026986469836142425,0.3187679017564686,0.4245548635141469
gryvir,0.36999856463699293,0.0029637122800890725,0.36418968856801837,0.3758074407059675
gwfgoo,0.3699460020993899,0.002155114444756831,0.3657219777876665,0.37417002641111324
gycthr,0.37000236533342656,0.001150668856404405,0.3677470543748739,0.3722576762919792
haiwoo,0.3700106546652687,7.590113797370285e-4,0.3685229923609841,0.3714983169695533
