species,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna
abetow,0.37068002805702416,0.00894281131830419,0.35315211787314793,0.3882079382409004,Aridlands,NA,0.4844237409561174
acafly,0.3700332952231308,0.00137573668280995,0.3673368513248233,0.37272973912143825,Forest,NA,0.770112271031842
acowoo,0.3701119710450579,0.00427925455253549,0.36172463212208833,0.37849930996802744,Forest,NA,0.7117700845361642
aldfly,0.3699524994810691,0.00105104434866158,0.3678924525576924,0.3720125464044458,Forest,NA,0.28030728175083464
allhum,0.37001224847409314,0.01089697604507154,0.34865417542575294,0.39137032152243334,Aridlands,Tipping Point,0.31611533252517887
ambduc,0.3669650708134103,0.00909829037571501,0.34913242167700886,0.3847977199498117,Water/wetland,NA,0.5062751119239817
ameavo,0.3701161440362245,0.01455791830151855,0.3415826241652481,0.3986496639072008,Water/wetland,NA,0.08605031160042236
amebit,0.36988297780332985,0.00165259520902795,0.36664389119363505,0.37312206441302465,Water/wetland,NA,0.4128024735630955
amecro,0.36972059392020046,0.00107632602968092,0.36761099490202587,0.37183019293837505,Habitat Generalist,NA,0.5301326596713558
amedip,0.3699445564756035,0.00360724924804713,0.3628743479494311,0.3770147650017759,Water/wetland,NA,0.3680366670710242
amegfi,0.3699409485173429,4.877119002986932e-4,0.36898503319275744,0.3708968638419283,Forest,NA,0.5282992067353245
amekes,0.36996371985969234,5.269913393535281e-4,0.3689308168345594,0.37099662288482527,Habitat Generalist,NA,0.3820858596489245
amepip,0.3696817784324991,9.104020680654894e-4,0.3678973903790907,0.37146616648590747,Water/wetland,NA,0.24393497913509377
amered,0.369919907062103,8.015176206233601e-4,0.3683489325256812,0.3714908815985248,Forest,NA,0.5388483806644917
amerob,0.369894662542767,0.00146565703897336,0.3670219747463792,0.3727673503391547,Forest,NA,0.5029459846121345
amewig,0.3699384651158485,0.00365583624072862,0.3627730260840204,0.3771039041476766,Water/wetland,NA,0.25552221051741686
amewoo,0.369990428010189,0.00106962428949745,0.367893964402774,0.372086891617604,Forest,NA,0.6474985002380977
amgplo,0.3699885439781645,0.00407225632075887,0.36200692158947706,0.3779701663668518,Water/wetland,Tipping Point,0.0986894371101263
amtspa,0.36993331434358,8.368137750429627e-4,0.36829315934449575,0.37157346934266416,Water/wetland,NA,0.317269430760883
amwpel,0.3689190346391928,0.00558238383486687,0.35797756232285377,0.3798605069555319,Water/wetland,NA,0.3946832305352487
anhing,0.36986349570681987,0.00366528866407937,0.3626795299252243,0.37704746148841545,Water/wetland,NA,0.5751460368188006
annhum,0.3700003836535621,0.00282827981757698,0.3644569552111112,0.37554381209601295,Aridlands,NA,0.5332094066198678
arcter,0.35590447583040297,0.00267654207748706,0.3506584533585283,0.3611504983022776,Water/wetland,NA,0.13015555721852967
arcwar1,0.3685434115344012,0.00222445723627834,0.3641834753512957,0.3729033477175068,Water/wetland,NA,0.00570909221460169
