species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna,over_upper95,under_lower95
comred,Common Redpoll,Acanthis flammea,0.36976486963203664,9.996531913361924e-4,0.3678055493770177,0.3717241898870556,Water/wetland,NA,0.14425780186024578,0,1
hoared,Hoary Redpoll,Acanthis hornemanni,0.3684361469241628,0.0019233373757262,0.3646664056677394,0.37220588818058614,Water/wetland,NA,0.01900371332915618,0,1
coohaw,Cooper's Hawk,Accipiter cooperii,0.3699816300795334,4.722036168224534e-4,0.36905611099056135,0.3709071491685053,Forest,NA,0.3906918080607582,1,0
norgos,Northern Goshawk,Accipiter gentilis,0.3696279158899696,8.309526151606075e-4,0.3679992487642548,0.3712565830156844,Forest,NA,0.11793748090683298,0,1
shshaw,Sharp-shinned Hawk,Accipiter striatus,0.3698078646955281,5.596605166278984e-4,0.3687109300829374,0.3709047993081188,Forest,NA,0.3772536759093539,1,0
sposan,Spotted Sandpiper,Actitis macularius,0.3697314905885124,7.005066883528421e-4,0.3683584974793409,0.3711044836976839,Water/wetland,NA,0.23848569115011745,0,1
clagre,Clark's Grebe,Aechmophorus clarkii,0.3696302881278297,0.01284434725389857,0.3444553675101885,0.3948052087454709,Water/wetland,Tipping Point,0.3497653353426049,0,0
wesgre,Western Grebe,Aechmophorus occidentalis,0.36625082608524046,0.01144290420762928,0.34382273383828704,0.3886789183321938,Water/wetland,Tipping Point,0.5137682676930998,1,0
nswowl,Northern Saw-whet Owl,Aegolius acadicus,0.36997361357904207,0.00138310285198158,0.36726273198915815,0.372684495168926,Forest,NA,0.3448922370387702,0,1
whtswi,White-throated Swift,Aeronautes saxatalis,0.3700196951109512,0.00183661000732348,0.3664199394965972,0.3736194507253053,Aridlands,NA,0.29318719123370585,0,1
rewbla,Red-winged Blackbird,Agelaius phoeniceus,0.36970670396174227,0.00650131034665874,0.35696413568229113,0.3824492722411934,Habitat Generalist,NA,0.30650034099590845,0,1
tribla,Tricolored Blackbird,Agelaius tricolor,0.37000722245829654,0.01847594460929049,0.33379437102408716,0.4062200738925059,Water/wetland,Tipping Point,0.644990257552081,1,0
rucspa,Rufous-crowned Sparrow,Aimophila ruficeps,0.3699908794718839,0.00318772674608019,0.36374293504956673,0.3762388238942011,Aridlands,NA,0.5684965738137056,1,0
wooduc,Wood Duck,Aix sponsa,0.37000482195083834,8.262320521301013e-4,0.36838540712866336,0.3716242367730133,Water/wetland,NA,0.46341554961445475,1,0
