species,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon
abetow,0.43988632294481794,0.00914681480597502,0.4219585659251069,0.457814079964529,Aridlands,NA,0.02394129354797769
acafly,0.4400296785215019,0.00137057687578641,0.4373433478449605,0.44271600919804327,Forest,NA,0.7734335141186652
acowoo,0.4400452930249636,0.00477834482330886,0.4306797371712782,0.44941084887864896,Forest,NA,0.678115014694589
aldfly,0.4399445417200527,0.00111237382040038,0.43776428903206793,0.4421247944080375,Forest,NA,0.5259990907080528
allhum,0.4399679332518142,0.01126418330393494,0.41789013397610175,0.4620457325275267,Aridlands,Tipping Point,0.36232705619649863
ambduc,0.436659215973405,0.00862549534980351,0.41975324508779016,0.45356518685902,Water/wetland,NA,0.5618855464476606
ameavo,0.43830782770425175,0.01524587626533785,0.4084259102241896,0.46818974518431394,Water/wetland,NA,0.08439192573111323
amebit,0.4399022555756926,0.00181251278413151,0.4363497305187948,0.4434547806325904,Water/wetland,NA,0.5417484352469921
amecro,0.4395994824188704,0.00104560645740761,0.43755009376235143,0.4416488710753893,Habitat Generalist,NA,0.542905795306126
amedip,0.4398088780260902,0.00366661129394884,0.4326223198899505,0.4469954361622299,Water/wetland,NA,0.8759933263708461
amegfi,0.4399391502359617,5.076517745811101e-4,0.4389441527577827,0.4409341477141407,Forest,NA,0.5275253090316143
amekes,0.43992040423753864,5.358832612978355e-4,0.4388700730453949,0.4409707354296824,Habitat Generalist,NA,0.37414138194430313
amepip,0.4395952988463927,9.105665808219744e-4,0.4378105883479816,0.44138000934480376,Water/wetland,NA,0.2529554926059018
amered,0.4399041304091379,7.933273151501018e-4,0.43834920887144374,0.44145905194683216,Forest,NA,0.6249886923077725
amerob,0.4399680897703851,0.00153477972972101,0.4369599215001319,0.4429762580406383,Forest,NA,0.551114216367008
amewig,0.4395527884422066,0.003811577633968,0.4320820962796293,0.44702348060478386,Water/wetland,NA,0.2721634562705826
amewoo,0.4399484452489999,0.00110761336486912,0.4377775230538564,0.4421193674441434,Forest,NA,0.7005834480673407
amgplo,0.4398827020654568,0.00424300260402268,0.43156641696157233,0.4481989871693412,Water/wetland,Tipping Point,0.07683986314358748
amtspa,0.43994470077652215,7.971020135577885e-4,0.4383823808299489,0.4415070207230954,Water/wetland,NA,0.3633345078577461
amwpel,0.4388807551701593,0.00544016753871223,0.42821802679428334,0.4495434835460352,Water/wetland,NA,0.4518051697220593
anhing,0.43992040933251386,0.00362877982693702,0.4328080008717173,0.4470328177933104,Water/wetland,NA,0.5921144416615363
annhum,0.4397079513990037,0.00313727425638193,0.4335588938564951,0.4458570089415123,Aridlands,NA,0.3955289132613089
arcter,0.4233692239520272,0.00276018328489545,0.4179592647136321,0.4287791831904223,Water/wetland,NA,0.08212472126313841
arcwar1,0.4382561880199391,0.00246111804012977,0.4334323966612848,0.4430799793785935,Water/wetland,NA,0.0471662841844136
astfly,0.44000362138012267,0.00123408442206883,0.43758481591286774,0.4424224268473776,Aridlands,NA,0.13259252130200738
attwoo1,0.43998296605244896,0.00242355191933846,0.4352328042905456,0.4447331278143524,Forest,NA,0.7426250469915772
babwar,0.43994713340100794,0.00126601026120677,0.43746575328904264,0.4424285135129733,Forest,NA,0.6579905169818581
bacspa,0.4399460807182624,0.00674774963344742,0.4267204914367055,0.45317166999981934,Forest,Tipping Point,0.6784064929363609
baisan,0.4399197684369708,0.00216310014896268,0.4356800921450039,0.4441594447289377,Water/wetland,NA,0.2815091499313629
baispa,0.4399440089895217,0.0031745101632353,0.4337219690695805,0.4461660489094629,Grasslands,Tipping Point,0.6032963817152428
baleag,0.4355618252585308,0.00136269906641367,0.43289093508836,0.4382327154287016,Water/wetland,NA,0.40728836452065487
balori,0.4400019053195659,8.926545386598966e-4,0.4382523024237925,0.4417515082153393,Forest,NA,0.4276572814384596
banswa,0.4394234430309876,0.00388091911142996,0.4318168415725849,0.4470300444893904,Habitat Generalist,NA,0.26387287821894523
bargol,0.4312472795195972,0.00519229521475845,0.4210703808986706,0.44142417814052376,Water/wetland,NA,0.4817851685504043
barswa,0.4397871235839996,0.00553631171804532,0.4289359526166307,0.4506382945513685,Habitat Generalist,NA,0.3268307748609973
batpig1,0.43997910006648183,0.00349089628656499,0.4331369433448145,0.4468212567881492,Forest,NA,0.8748161531608574
bawwar,0.439944706408024,9.371763526732196e-4,0.4381078407567845,0.4417815720592635,Forest,NA,0.7330512887698335
bcnher,0.4390029996447697,0.00298660103416573,0.43314926161780487,0.4448567376717345,Water/wetland,NA,0.27898213642414493
belkin1,0.43952889902019177,6.483425920091429e-4,0.4382581475398538,0.44079965050052966,Water/wetland,NA,0.5856941936459066
belspa2,0.4401533358626789,0.00526375414012792,0.4298363777480282,0.45047029397732963,Aridlands,NA,0.09236006588982804
belvir,0.4400168269822948,0.00159032224991773,0.4368997953724561,0.4431338585921336,Aridlands,NA,0.262833186525091
benthr,0.4400042985686933,0.00549806994261816,0.4292280814811617,0.4507805156562249,Aridlands,Tipping Point,5.472912280310993e-4
bewwre,0.43999976705277904,0.00125455481367606,0.4375408396179739,0.4424586944875841,Aridlands,NA,0.22356393338037608
bkbcuc,0.4399329256695884,0.0018809908769025,0.4362461835508595,0.44361966778831735,Forest,Tipping Point,0.7471611243008194
bkbmag1,0.43975692055625953,0.00143528617550609,0.4369437596522676,0.44257008146025145,Habitat Generalist,NA,0.5027895987919005
bkbplo,0.4334425325394254,0.01074298443406965,0.4123862830486489,0.4544987820302019,Water/wetland,NA,0.1661889097445428
bkbwar,0.4399253135045678,0.00143671893567442,0.437109344390646,0.44274128261848966,Forest,NA,0.7684787715416478
bkbwoo,0.4401490968711123,0.00431634549710097,0.4316890596967944,0.44860913404543024,Forest,NA,0.9842455187533724
bkcchi,0.43993596094786086,0.00119213280985819,0.4375993806405388,0.44227254125518295,Forest,NA,0.7223349421985503
bkchum,0.4399487205346516,0.00178530301984842,0.4364495266157487,0.4434479144535545,Forest,NA,0.14212973399456497
bkcspa,0.44018903320905967,0.00435115984516647,0.4316607599125334,0.44871730650558594,Aridlands,Tipping Point,0.263619639839213
bkhgro,0.4399876328243396,0.00115721053049402,0.43771950018457134,0.4422557654641079,Forest,NA,0.5349837066032497
bknsti,0.43915389572348057,0.01047836442939966,0.4186163014418573,0.4596914900051039,Water/wetland,NA,0.1236197655206568
bkpwar,0.43984582703150393,9.185702296856426e-4,0.4380454293813201,0.4416462246816878,Forest,NA,0.4524004877624512
bktgna,0.439937120953877,0.0035097971738093,0.43305791849321074,0.4468163234145433,Aridlands,NA,0.00253321993730537
bktspa,0.44000163653697433,0.0016969077135922,0.4366756974183336,0.44332757565561504,Aridlands,NA,0.02124146396595511
bkwvir,0.4382437123077807,0.04895268005489804,0.34229645940018055,0.5341909652153809,Forest,NA,0.5504562907312902
blctit4,0.4400354154824098,0.0035902918427143,0.4329984434706898,0.44707238749412986,Aridlands,NA,0.2541422067277779
blkpho,0.43981721560789616,0.00251010575750941,0.4348974083231777,0.44473702289261463,Water/wetland,NA,0.17434847445276347
blksco2,0.381175956089521,0.00746717661586554,0.3665402899224245,0.39581162225661737,Water/wetland,Tipping Point,0.05252181529677496
blkswi,0.4397094369080526,0.00604295195186915,0.42786525108238904,0.4515536227337162,Forest,Tipping Point,0.7965519338702194
blkter,0.43459746666153654,0.00602416015010121,0.4227901127673382,0.4464048205557349,Water/wetland,NA,0.31210635015577937
blkvul,0.4399835749539081,0.00151719753376364,0.4370098677877313,0.4429572821200848,Habitat Generalist,NA,0.5660240565952767
blugrb1,0.43998992011519206,8.061229918658512e-4,0.43840991905113497,0.44156992117924915,Forest,NA,0.3769651031492227
blujay,0.4399387919165789,6.741455863679432e-4,0.4386174665672978,0.44126011726586006,Forest,NA,0.5911050974910104
bncfly,0.4400728639962137,0.00322219102709101,0.43375736958311534,0.44638835840931207,Aridlands,NA,0.048681747603041003
bnhcow,0.43996605320950455,0.00264560944432165,0.4347806586986341,0.445151447720375,Habitat Generalist,NA,0.3171048190760515
bnhnut,0.43993396734193374,0.00251542526846828,0.4350037338157358,0.4448642008681316,Forest,NA,0.6718148203357543
boboli,0.4399094158179354,0.00363821409144791,0.4327785161986975,0.4470403154371733,Grasslands,Tipping Point,0.3930393669255852
bohwax,0.43991133040390784,0.00295725721893591,0.43411510625479344,0.44570755455302224,Forest,NA,0.6624573050538043
bongul,0.4335463890762615,0.00631558929755535,0.42116783405305297,0.44592494409947,Water/wetland,NA,0.4490523660226682
borchi2,0.44001772062467304,0.00193286866096482,0.436229298049182,0.4438061432001641,Forest,NA,0.3964150248014073
botgra,0.4382313470327151,0.00940959367379104,0.41978854343208466,0.45667415063334554,Water/wetland,NA,0.6456995777175507
brant,0.4358706973502148,0.01150335189644814,0.4133241276331765,0.4584172670672531,Water/wetland,NA,0.01831201861940569
brdowl,0.440056548766967,0.00107271439450822,0.4379540285537309,0.4421590689802031,Forest,NA,0.7309673169448972
brebla,0.43997704566220186,0.00122518561520882,0.43757568185639256,0.4423784094680112,Habitat Generalist,NA,0.2763965402773739
brespa,0.44001021407852625,0.0011594743853656,0.43773764428320966,0.4422827838738429,Aridlands,NA,0.2617110156474687
britit,0.4399587554487589,0.00871477195349268,0.4228778024199133,0.45703970847760456,Forest,NA,0.31043294792834786
brncre,0.4399474596514234,7.732740795462303e-4,0.4384318424555128,0.441463076847334,Forest,NA,0.7509174463319548
brnowl,0.4400626049252566,0.0029171225024272,0.4343450448204993,0.44578016503001394,Habitat Generalist,NA,0.19130494323160363
brnthr,0.43998665091219136,6.576232534095266e-4,0.43869770933550867,0.4412755924888741,Forest,NA,0.5370833526708481
brocow,0.4403463613053583,0.00671113774894191,0.4271925313174322,0.4535001912932845,Aridlands,NA,0.04708533395594516
brthum,0.4399915112585382,0.00220769473532693,0.4356644295772974,0.444318592939779,Forest,NA,0.5996130644623308
brwhaw,0.4400630138293237,0.00347837751996864,0.4332453938901852,0.44688063376846227,Forest,NA,0.5328817821953601
btbwar,0.4398626745660131,0.00205933465018526,0.43582637865165,0.4438989704803762,Forest,NA,0.85212004793944
btnwar,0.4399632924817834,0.00126098963399727,0.4374917527991487,0.4424348321644181,Forest,NA,0.7722652854213939
btywar,0.4399883398892801,0.00156328585416751,0.43692429961511176,0.4430523801634485,Forest,NA,0.4414252462775959
bubsan,0.4403744913555526,0.00874472233161313,0.4232348355855909,0.4575141471255144,Water/wetland,Tipping Point,0.0763659171586113
buffle,0.4363120270291312,0.00273354513351583,0.4309542785674402,0.4416697754908222,Water/wetland,NA,0.4532344354529107
buggna,0.4399951951397194,7.273989652456811e-4,0.4385694931678379,0.441420897111601,Habitat Generalist,NA,0.5667610904783649
buhvir,0.43994962609542904,0.00109690256800254,0.43779969706214406,0.442099555128714,Forest,NA,0.747694346371726
bulori,0.4399771146045805,0.00107903692073507,0.4378622022399397,0.4420920269692212,Forest,NA,0.2501466724916177
burowl,0.4400103177613956,0.00185662066933526,0.4363713412494985,0.4436492942732927,Grasslands,NA,0.3977009082220389
bushti,0.43997211282012527,0.002168767093327,0.4357213293172043,0.4442228963230462,Forest,NA,0.33773866451528756
buwtea,0.4397937206687299,0.00168862571334952,0.4364840142705649,0.44310342706689504,Water/wetland,NA,0.2813953183364525
buwwar,0.4399834423072639,0.00190835539647586,0.4362430657301712,0.4437238188843566,Forest,NA,0.7736040222924443
cacgoo1,0.4395650583503427,0.00341811617761433,0.4328655506422186,0.4462645660584668,Water/wetland,NA,0.2682332472052491
cacwre,0.4399935312354678,0.00269483373155358,0.4347116571216228,0.4452754053493128,Aridlands,NA,0.00435693905239986
calgul,0.4405943423726019,0.04653938226686198,0.3493771531295524,0.5318115316156514,Water/wetland,NA,0.1845919830708207
calhum,0.4399582171837302,0.00240747906808699,0.43523955821027965,0.4446768761571807,Forest,NA,0.728431726456541
calqua,0.4400952493991413,0.00277385907443221,0.43465848561325415,0.4455320131850285,Aridlands,NA,0.4556846810674333
calthr,0.4401530893943436,0.00642968160359472,0.4275509134512979,0.4527552653373893,Aridlands,NA,0.6377940506847608
caltow,0.4399200525346359,0.00506058007905535,0.43000131557968746,0.4498387894895845,Aridlands,NA,0.5360873222103919
camwar,0.4397889468548898,0.00148021321338988,0.4368877289566456,0.44269016475313394,Forest,NA,0.761168527035383
cangoo,0.4399337880139992,0.00117365933359965,0.43763341572014386,0.4422341603078545,Water/wetland,NA,0.44050732066189024
cantow,0.43990963706714786,0.00326120629236542,0.4335176727341116,0.4463016014001841,Aridlands,NA,0.03227692987388764
canvas,0.4394385496108978,0.01861217455363654,0.4029586874857702,0.4759184117360254,Water/wetland,NA,0.4716463578597204
canwar,0.43987233801650955,0.0017698871545229,0.43640335919364465,0.4433413168393744,Forest,Tipping Point,0.7730581980017268
canwre,0.4399730568873906,0.00281860250244291,0.4344485959826025,0.44549751779217867,Aridlands,NA,0.27696180265294146
carchi,0.4400144180631125,0.00101432086862639,0.43802634916060473,0.4420024869656202,Forest,NA,0.7047169240048632
carwre,0.4400128577021207,9.453914407631764e-4,0.4381598904782248,0.4418658249260165,Forest,NA,0.6745372226470985
casfin,0.43999808966773973,0.001525968659391,0.43700719109533337,0.4429889882401461,Forest,NA,0.7323807328142573
caskin,0.4399210012514818,0.00209392201548004,0.435816914101141,0.4440250884018227,Forest,NA,0.10976614050611766
casspa,0.4399885695077835,0.00182615109635065,0.4364093133589362,0.4435678256566308,Grasslands,NA,0.12524814745477642
caster1,0.41365655347252234,0.01310089613198741,0.38797879705382704,0.4393343098912176,Water/wetland,NA,0.35502895789857547
casvir,0.4399897056183382,0.00155735673345878,0.436937286420759,0.4430421248159174,Forest,NA,0.6756347373076919
categr,0.4398021365238057,0.00545267758828793,0.42911488845076134,0.45048938459685,Water/wetland,NA,0.432856600048016
cavswa,0.440012367464669,0.00221515328862332,0.4356706670189672,0.44435406791037063,Aridlands,NA,0.1522236094045568
cedwax,0.4399235879760712,6.116526779947796e-4,0.43872474872720146,0.441122427224941,Forest,NA,0.5556120267793805
cerwar,0.4400938516979277,0.00380812643054523,0.43262992389405897,0.4475577795017963,Forest,Tipping Point,0.9364766220398836
chbchi,0.43991507274657526,0.00303165688489039,0.4339730252521901,0.4458571202409604,Forest,NA,0.8990346872980339
chclon,0.4400123979703726,0.00217591196431849,0.4357476105203083,0.44427718542043687,Grasslands,Tipping Point,0.35456673280633494
chirav,0.4400696413673586,0.0033701877514511,0.4334640733745144,0.4466752093602028,Aridlands,NA,0.04281576723616354
chispa,0.439976252477245,5.078399728552606e-4,0.43898088613044867,0.4409716188240413,Forest,NA,0.5061418168349845
chiswi,0.4399862216308268,0.00344873050106305,0.4332267098487432,0.4467457334129103,Forest,Tipping Point,0.562219620488845
chswar,0.4399523288065657,0.00128058380911854,0.4374423845406933,0.442462273072438,Forest,NA,0.7832247531962443
chwwid,0.4399470775830532,0.00166804204684436,0.4366777151712382,0.44321643999486815,Forest,NA,0.7103114991475578
cintea,0.4399163304627897,0.00277332404442044,0.4344806153357256,0.4453520455898538,Water/wetland,NA,0.15508716885528395
clagre,0.44048282706302727,0.01379073433753539,0.4134529877614579,0.46751266636459665,Water/wetland,Tipping Point,0.2682841227899344
clanut,0.43996617658503107,0.00211213300916453,0.43582639588706856,0.4441059572829936,Forest,NA,0.8450187252398864
clcspa,0.43997804989491823,0.00100085234973262,0.4380163792894423,0.44193972050039415,Grasslands,NA,0.3786786658391446
cliswa,0.4399691474202008,8.058820670708696e-4,0.4383896185687419,0.4415486762716597,Habitat Generalist,NA,0.3346039148897424
cogdov,0.44020221950545846,0.00340993604796923,0.4335187448514387,0.44688569415947815,Aridlands,NA,0.2782145552852833
comgal1,0.44005842714293986,0.00639192094384387,0.4275302620930059,0.45258659219287384,Water/wetland,NA,0.5577548195763677
comgol,0.43739007335746055,0.0042807288293723,0.42899984485189085,0.44578030186303025,Water/wetland,NA,0.4483915955742459
comgra,0.4399700984742918,0.01290991673935728,0.41466666166515154,0.46527353528343207,Habitat Generalist,NA,0.37931909308354433
comloo,0.4325482166405288,0.00415599820518299,0.4244024601583702,0.4406939731226875,Water/wetland,NA,0.5139955138107517
commer,0.4397014997849608,0.00850233639921021,0.42303692044250873,0.4563660791274128,Water/wetland,NA,0.5865314879455501
comnig,0.43988984055065966,7.616320126263029e-4,0.4383970418059121,0.4413826392954072,Habitat Generalist,NA,0.553378120007758
compoo,0.4399812727990513,0.00146435485531859,0.4371111372826268,0.4428514083154757,Aridlands,NA,0.40157498522797863
comrav,0.43904869116992257,6.151654676162506e-4,0.4378429668533947,0.4402544154864505,Habitat Generalist,NA,0.3459729536573114
comred,0.4396802014874326,0.00101161772506026,0.4376974307463144,0.44166297222855067,Water/wetland,NA,0.3442524121187699
comter,0.38636847016545073,0.02445662399911068,0.3384334871271938,0.43430345320370767,Water/wetland,NA,0.1917635526864512
comyel,0.43988691260951934,6.100401260318608e-4,0.4386912339624969,0.4410825912565418,Habitat Generalist,NA,0.4979286801710603
conwar,0.43985579683397646,0.00523536297577486,0.4295944854014577,0.4501171082664952,Forest,NA,0.8017699595770331
coohaw,0.43997863693848954,4.8562314147744426e-4,0.4390268155811938,0.4409304582957853,Forest,NA,0.415778902088185
corfly,0.44001967634647415,0.00241005909830518,0.435295960513796,0.4447433921791523,Forest,NA,0.7862841925077944
coshum,0.4399931101897256,0.00356583330932422,0.4330040769034501,0.446982143476001,Aridlands,NA,0.08134194641316839
coukin,0.44027686809079336,0.00564434221374809,0.4292139573518471,0.4513397788297397,Aridlands,NA,0.06878417499470046
cowscj1,0.439982298311096,0.00404652650046187,0.43205110637019073,0.4479134902520012,Forest,NA,0.5277364059745722
crithr,0.4400464943932922,0.00309497417979798,0.43398034500088817,0.4461126437856962,Aridlands,NA,0.02343441008906666
cubthr,0.4400154189929445,0.00292500458766515,0.4342824100011208,0.4457484279847682,Aridlands,NA,0.00820997005565666
