species_code,common_name,scientific_name,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_carbon,over_upper95,under_lower95
comred,Common Redpoll,Acanthis flammea,44.0%,0.10%,43.8%,44.2%,Water/wetland,NA,34.4%,0,1
hoared,Hoary Redpoll,Acanthis hornemanni,43.8%,0.20%,43.4%,44.2%,Water/wetland,NA,6.8%,0,1
coohaw,Cooper's Hawk,Accipiter cooperii,44.0%,0.05%,43.9%,44.1%,Forest,NA,41.6%,0,1
norgos,Northern Goshawk,Accipiter gentilis,44.0%,0.09%,43.8%,44.1%,Forest,NA,33.9%,0,1
shshaw,Sharp-shinned Hawk,Accipiter striatus,44.0%,0.06%,43.9%,44.1%,Forest,NA,52.0%,1,0
sposan,Spotted Sandpiper,Actitis macularius,44.0%,0.07%,43.8%,44.1%,Water/wetland,NA,34.5%,0,1
clagre,Clark's Grebe,Aechmophorus clarkii,44.0%,1.38%,41.3%,46.8%,Water/wetland,Tipping Point,26.8%,0,1
wesgre,Western Grebe,Aechmophorus occidentalis,43.5%,1.21%,41.2%,45.9%,Water/wetland,Tipping Point,48.4%,1,0
nswowl,Northern Saw-whet Owl,Aegolius acadicus,44.0%,0.15%,43.7%,44.3%,Forest,NA,75.1%,1,0
whtswi,White-throated Swift,Aeronautes saxatalis,44.0%,0.19%,43.6%,44.4%,Aridlands,NA,32.8%,0,1
rewbla,Red-winged Blackbird,Agelaius phoeniceus,44.0%,0.68%,42.7%,45.3%,Habitat Generalist,NA,31.1%,0,1
tribla,Tricolored Blackbird,Agelaius tricolor,44.0%,1.93%,40.3%,47.8%,Water/wetland,Tipping Point,3.0%,0,1
rucspa,Rufous-crowned Sparrow,Aimophila ruficeps,44.0%,0.36%,43.3%,44.7%,Aridlands,NA,20.8%,0,1
wooduc,Wood Duck,Aix sponsa,44.0%,0.08%,43.8%,44.2%,Water/wetland,NA,47.7%,1,0
graspa,Grasshopper Sparrow,Ammodramus savannarum,44.0%,0.11%,43.8%,44.2%,Grasslands,NA,52.5%,1,0
