species_code,common_name,scientific_name,habitat,tipping_pt,avg_37pct,stdev_37pct,lower95_37pct,upper95_37pct,sum_cna,over_upper95_37pct,under_lower95_37pct,avg_44pct,stdev_44pct,lower95_44pct,upper95_44pct,sum_carbon,over_upper95_44pct,under_lower95_44pct
abetow,Abert's Towhee,Melozone aberti,Aridlands,NA,0.37100,0.00890,0.35300,0.38800,0.48400,1.00000,0.00000,0.44000,0.00910,0.42200,0.45800,0.02400,0.00000,1.00000
acafly,Acadian Flycatcher,Empidonax virescens,Forest,NA,0.37000,0.00140,0.36700,0.37300,0.77000,1.00000,0.00000,0.44000,0.00140,0.43700,0.44300,0.77300,1.00000,0.00000
acowoo,Acorn Woodpecker,Melanerpes formicivorus,Forest,NA,0.37000,0.00430,0.36200,0.37800,0.71200,1.00000,0.00000,0.44000,0.00480,0.43100,0.44900,0.67800,1.00000,0.00000
aldfly,Alder Flycatcher,Empidonax alnorum,Forest,NA,0.37000,0.00110,0.36800,0.37200,0.28000,0.00000,1.00000,0.44000,0.00110,0.43800,0.44200,0.52600,1.00000,0.00000
allhum,Allen's Hummingbird,Selasphorus sasin,Aridlands,Tipping Point,0.37000,0.01090,0.34900,0.39100,0.31600,0.00000,1.00000,0.44000,0.01130,0.41800,0.46200,0.36200,0.00000,1.00000
ambduc,American Black Duck,Anas rubripes,Water/wetland,NA,0.36700,0.00910,0.34900,0.38500,0.50600,1.00000,0.00000,0.43700,0.00860,0.42000,0.45400,0.56200,1.00000,0.00000
ameavo,American Avocet,Recurvirostra americana,Water/wetland,NA,0.37000,0.01460,0.34200,0.39900,0.08600,0.00000,1.00000,0.43800,0.01520,0.40800,0.46800,0.08400,0.00000,1.00000
amebit,American Bittern,Botaurus lentiginosus,Water/wetland,NA,0.37000,0.00170,0.36700,0.37300,0.41300,1.00000,0.00000,0.44000,0.00180,0.43600,0.44300,0.54200,1.00000,0.00000
amecro,American Crow,Corvus brachyrhynchos,Habitat Generalist,NA,0.37000,0.00110,0.36800,0.37200,0.53000,1.00000,0.00000,0.44000,0.00100,0.43800,0.44200,0.54300,1.00000,0.00000
amedip,American Dipper,Cinclus mexicanus,Water/wetland,NA,0.37000,0.00360,0.36300,0.37700,0.36800,0.00000,0.00000,0.44000,0.00370,0.43300,0.44700,0.87600,1.00000,0.00000
amegfi,American Goldfinch,Spinus tristis,Forest,NA,0.37000,0.00050,0.36900,0.37100,0.52800,1.00000,0.00000,0.44000,0.00050,0.43900,0.44100,0.52800,1.00000,0.00000
amekes,American Kestrel,Falco sparverius,Habitat Generalist,NA,0.37000,0.00050,0.36900,0.37100,0.38200,1.00000,0.00000,0.44000,0.00050,0.43900,0.44100,0.37400,0.00000,1.00000
amepip,American Pipit,Anthus rubescens,Water/wetland,NA,0.37000,0.00090,0.36800,0.37100,0.24400,0.00000,1.00000,0.44000,0.00090,0.43800,0.44100,0.25300,0.00000,1.00000
amered,American Redstart,Setophaga ruticilla,Forest,NA,0.37000,0.00080,0.36800,0.37100,0.53900,1.00000,0.00000,0.44000,0.00080,0.43800,0.44100,0.62500,1.00000,0.00000
