"","species_code","common_name","scientific_name","habitat","tipping_pt","avg_37pct","stdev_37pct","lower95_37pct","upper95_37pct","sum_cna","over_upper95_37pct","under_lower95_37pct","avg_44pct","stdev_44pct","lower95_44pct","upper95_44pct","sum_carbon","over_upper95_44pct","under_lower95_44pct","p_value_37pct","p_value_44pct"
"1","abetow","Abert's Towhee","Melozone aberti","Aridlands",NA,0.371,0.0089,0.353,0.388,0.484,1,0,0.44,0.0091,0.422,0.458,0.024,0,1,0,0
"2","acafly","Acadian Flycatcher","Empidonax virescens","Forest",NA,0.37,0.0014,0.367,0.373,0.77,1,0,0.44,0.0014,0.437,0.443,0.773,1,0,0,0
"3","acowoo","Acorn Woodpecker","Melanerpes formicivorus","Forest",NA,0.37,0.0043,0.362,0.378,0.712,1,0,0.44,0.0048,0.431,0.449,0.678,1,0,0,0
"4","aldfly","Alder Flycatcher","Empidonax alnorum","Forest",NA,0.37,0.0011,0.368,0.372,0.28,0,1,0.44,0.0011,0.438,0.442,0.526,1,0,0,0
"5","allhum","Allen's Hummingbird","Selasphorus sasin","Aridlands","Tipping Point",0.37,0.0109,0.349,0.391,0.316,0,1,0.44,0.0113,0.418,0.462,0.362,0,1,0,0
"6","ambduc","American Black Duck","Anas rubripes","Water/wetland",NA,0.367,0.0091,0.349,0.385,0.506,1,0,0.437,0.0086,0.42,0.454,0.562,1,0,0,0
"7","ameavo","American Avocet","Recurvirostra americana","Water/wetland",NA,0.37,0.0146,0.342,0.399,0.086,0,1,0.438,0.0152,0.408,0.468,0.084,0,1,0,0
"8","amebit","American Bittern","Botaurus lentiginosus","Water/wetland",NA,0.37,0.0017,0.367,0.373,0.413,1,0,0.44,0.0018,0.436,0.443,0.542,1,0,0,0
"9","amecro","American Crow","Corvus brachyrhynchos","Habitat Generalist",NA,0.37,0.0011,0.368,0.372,0.53,1,0,0.44,0.001,0.438,0.442,0.543,1,0,0,0
"10","amedip","American Dipper","Cinclus mexicanus","Water/wetland",NA,0.37,0.0036,0.363,0.377,0.368,0,0,0.44,0.0037,0.433,0.447,0.876,1,0,1.02310856434058e-60,0
