,sps,mean_var,stdev_var,sps_groups.x,sps_groups.y,,Count of spp less than 10% represented,3
23,arcter,0.06,4.4%,Water/wetland,NA,,Count of spp 10-20% represented,13
428,wantat1,0.08,1.4%,Water/wetland,Tipping Point,,Count of spp 20-30% represented,13
328,pursan,0.09,1.9%,Water/wetland,NA,,Count of spp 30-40% represented,449
401,sursco,0.10,0.5%,Water/wetland,NA,,Count of spp 36-38% represented,405
400,surfbi,0.10,1.0%,Water/wetland,Tipping Point,,Count of spp more than 40% represented,0
338,redkno,0.14,2.0%,Water/wetland,Tipping Point,,Total spp,479
347,retloo,0.15,0.9%,Water/wetland,NA,,,
179,gbbgul,0.15,1.1%,Water/wetland,Tipping Point,,,
143,comter,0.17,1.4%,Water/wetland,NA,,,
60,blksco2,0.17,0.6%,Water/wetland,Tipping Point,,,
352,rocsan,0.17,2.7%,Water/wetland,Tipping Point,,,
451,whwsco2,0.18,0.7%,Water/wetland,NA,,,
74,brant,0.19,1.9%,Water/wetland,NA,,,
57,bkwvir,0.19,3.2%,Forest,NA,,,
262,lotduc,0.19,0.9%,Water/wetland,NA,,,
369,sander,0.20,0.9%,Water/wetland,NA,,,
213,harduc,0.21,0.6%,Water/wetland,NA,,,
361,rudtur,0.22,1.3%,Water/wetland,Tipping Point,,,
207,grykin,0.23,2.0%,Forest,NA,,,
236,kineid,0.23,5.3%,Water/wetland,Tipping Point,,,
307,pagplo,0.26,3.3%,Water/wetland,NA,,,
34,bargol,0.26,0.4%,Water/wetland,NA,,,
342,rengre,0.28,0.5%,Water/wetland,NA,,,
115,caster1,0.28,0.9%,Water/wetland,NA,,,
379,shbdow,0.28,1.5%,Water/wetland,Tipping Point,,,
157,dunlin,0.28,0.9%,Water/wetland,NA,,,
173,forter,0.29,0.5%,Water/wetland,NA,,,
6,ambduc,0.30,0.7%,Water/wetland,NA,,,
377,semplo,0.30,0.7%,Water/wetland,NA,,,
224,horgre,0.30,0.5%,Water/wetland,NA,,,
453,willet1,0.31,0.6%,Water/wetland,NA,,,
217,hergul,0.31,1.0%,Water/wetland,NA,,,
435,wessan,0.31,1.2%,Water/wetland,NA,,,
197,gresca,0.31,0.9%,Water/wetland,NA,,,
46,bkbplo,0.31,1.1%,Water/wetland,NA,,,
137,comloo,0.31,0.4%,Water/wetland,NA,,,
155,doccor,0.31,0.6%,Water/wetland,NA,,,
331,rebmer,0.31,1.9%,Water/wetland,NA,,,
472,yebloo,0.31,2.8%,Water/wetland,Tipping Point,,,
412,triher,0.32,1.2%,Water/wetland,NA,,,
337,redhea,0.32,0.6%,Water/wetland,NA,,,
71,bongul,0.33,0.8%,Water/wetland,NA,,,
62,blkter,0.33,0.4%,Water/wetland,NA,,,
304,osprey,0.33,0.2%,Water/wetland,NA,,,
444,whimbr,0.33,0.9%,Water/wetland,Tipping Point,,,
272,mewgul,0.33,16.1%,Water/wetland,NA,,,
89,buffle,0.34,0.3%,Water/wetland,NA,,,
431,wesgre,0.34,1.2%,Water/wetland,Tipping Point,,,
378,semsan,0.34,0.5%,Water/wetland,Tipping Point,,,
251,lessca,0.35,0.4%,Water/wetland,NA,,,
356,rosspo1,0.35,0.5%,Water/wetland,NA,,,
343,renpha,0.35,1.9%,Water/wetland,NA,,,
443,whiibi,0.35,0.4%,Water/wetland,NA,,,
390,soogro1,0.35,0.5%,Forest,NA,,,
99,calgul,0.35,5.1%,Water/wetland,NA,,,
306,pacwre1,0.35,0.3%,Forest,NA,,,
275,motduc,0.35,0.8%,Water/wetland,Tipping Point,,,
31,baleag,0.35,0.1%,Water/wetland,NA,,,
73,botgra,0.35,0.9%,Water/wetland,NA,,,
419,varthr,0.35,0.2%,Forest,NA,,,
385,snoegr,0.35,0.4%,Water/wetland,NA,,,
135,comgol,0.36,0.4%,Water/wetland,NA,,,
312,perfal,0.36,0.1%,Habitat Generalist,NA,,,
268,margod,0.36,2.0%,Water/wetland,NA,,,
410,treswa,0.36,2.8%,Habitat Generalist,NA,,,
138,commer,0.36,0.8%,Water/wetland,NA,,,
446,whtkit,0.36,0.8%,Habitat Generalist,NA,,,
121,chbchi,0.36,0.3%,Forest,NA,,,
349,ribgul,0.36,0.4%,Water/wetland,NA,,,
5,allhum,0.36,1.1%,Aridlands,Tipping Point,,,
182,gloibi,0.36,0.8%,Water/wetland,NA,,,
203,grtgra,0.36,0.4%,Habitat Generalist,NA,,,
231,incdov,0.36,1.4%,Aridlands,NA,,,
237,kinrai4,0.36,0.6%,Water/wetland,Tipping Point,,,
246,leasan,0.36,0.3%,Water/wetland,NA,,,
20,amwpel,0.36,0.6%,Water/wetland,NA,,,
172,fiscro,0.36,0.3%,Habitat Generalist,NA,,,
244,leabit,0.36,0.4%,Water/wetland,NA,,,
107,canvas,0.36,1.8%,Water/wetland,NA,,,
360,rudduc,0.36,0.4%,Water/wetland,NA,,,
129,clagre,0.36,1.4%,Water/wetland,Tipping Point,,,
319,pinsis,0.36,0.1%,Forest,NA,,,
186,gocspa,0.36,0.3%,Water/wetland,NA,,,
174,foxspa,0.36,0.1%,Forest,NA,,,
16,amewig,0.36,0.4%,Water/wetland,NA,,,
38,bcnher,0.36,0.3%,Water/wetland,NA,,,
192,grbani,0.36,0.8%,Habitat Generalist,NA,,,
193,grbher3,0.36,0.1%,Water/wetland,NA,,,
296,nstspa,0.36,0.2%,Water/wetland,NA,,,
82,brocow,0.36,0.7%,Aridlands,NA,,,
39,belkin1,0.36,0.1%,Water/wetland,NA,,,
271,merlin,0.36,0.1%,Habitat Generalist,NA,,,
333,rebsap,0.36,0.3%,Forest,NA,,,
61,blkswi,0.36,0.7%,Forest,Tipping Point,,,
195,greegr,0.36,0.2%,Water/wetland,NA,,,
418,varbun,0.36,0.6%,Aridlands,NA,,,
336,redcro,0.36,0.1%,Forest,NA,,,
420,vauswi,0.36,0.7%,Forest,NA,,,
22,annhum,0.36,0.3%,Aridlands,NA,,,
59,blkpho,0.36,0.2%,Water/wetland,NA,,,
149,coukin,0.36,0.5%,Aridlands,NA,,,
185,gockin,0.36,0.1%,Forest,NA,,,
310,pasfly,0.36,0.3%,Forest,NA,,,
145,conwar,0.36,0.5%,Forest,NA,,,
309,palwar,0.36,0.1%,Forest,NA,,,
449,whwcro,0.36,0.2%,Forest,NA,,,
104,camwar,0.37,0.1%,Forest,NA,,,
221,hoomer,0.37,0.2%,Water/wetland,NA,,,
54,bkpwar,0.37,0.1%,Forest,NA,,,
387,snoowl1,0.37,0.3%,Water/wetland,Tipping Point,,,
85,btbwar,0.37,0.2%,Forest,NA,,,
21,anhing,0.37,0.3%,Water/wetland,NA,,,
176,fuwduc,0.37,0.8%,Water/wetland,NA,,,
133,cogdov,0.37,0.3%,Aridlands,NA,,,
134,comgal1,0.37,0.6%,Water/wetland,NA,,,
392,sposan,0.37,0.1%,Water/wetland,NA,,,
257,lobcur,0.37,0.4%,Grasslands,NA,,,
7,ameavo,0.37,1.5%,Water/wetland,NA,,,
69,boboli,0.37,0.4%,Grasslands,Tipping Point,,,
291,norpin,0.37,0.2%,Water/wetland,NA,,,
466,wrenti,0.37,0.5%,Aridlands,NA,,,
9,amecro,0.37,0.1%,Habitat Generalist,NA,,,
198,greyel,0.37,0.2%,Water/wetland,NA,,,
269,marwre,0.37,0.1%,Water/wetland,NA,,,
300,olispa,0.37,0.5%,Aridlands,NA,,,
477,yerwar,0.37,0.0%,Forest,NA,,,
200,grnher,0.37,0.1%,Water/wetland,NA,,,
228,hrshaw,0.37,0.6%,Aridlands,NA,,,
287,norgos,0.37,0.1%,Forest,NA,,,
381,shshaw,0.37,0.1%,Forest,NA,,,
415,tunswa,0.37,0.5%,Water/wetland,NA,,,
254,libher,0.37,0.3%,Water/wetland,NA,,,
295,nrwswa,0.37,0.1%,Habitat Generalist,NA,,,
222,hooori,0.37,0.3%,Aridlands,NA,,,
423,verfly,0.37,0.3%,Aridlands,NA,,,
220,hoared,0.37,0.5%,Water/wetland,NA,,,
259,lobthr,0.37,0.5%,Aridlands,NA,,,
141,comrav,0.37,0.1%,Habitat Generalist,NA,,,
230,hutvir,0.37,0.3%,Forest,NA,,,
136,comgra,0.37,1.2%,Habitat Generalist,NA,,,
250,lesnig,0.37,0.2%,Aridlands,NA,,,
426,virrai,0.37,0.1%,Water/wetland,NA,,,
35,barswa,0.37,0.6%,Habitat Generalist,NA,,,
468,y00678,0.37,0.4%,Aridlands,NA,,,
108,canwar,0.37,0.2%,Forest,Tipping Point,,,
389,sonspa,0.37,0.1%,Habitat Generalist,NA,,,
267,mallar3,0.37,0.3%,Water/wetland,NA,,,
317,pingro,0.37,0.1%,Forest,NA,,,
