"","sps","mean_var","stdev_var","sps_groups.x","sps_groups.y","sum"
"1","allhum",0.358495661958736,0.0108744246009071,"Aridlands","Tipping Point",0.32029245055292
"2","amgplo",0.369167065061032,0.00425397700832185,"Water/wetland","Tipping Point",0.103101139275458
"3","bacspa",0.369649055590546,0.00673444258558521,"Forest","Tipping Point",0.845857599056679
"4","baispa",0.366801038176889,0.00303835887168267,"Grasslands","Tipping Point",0.296121061955485
"5","benthr",0.368050349152343,0.00534795544459702,"Aridlands","Tipping Point",0.20373568562168
"6","bkbcuc",0.367842190791212,0.00191107101998481,"Forest","Tipping Point",0.547068371020421
"7","bkcspa",0.369321758096336,0.00419551528267578,"Aridlands","Tipping Point",0.413224744111822
"8","blksco2",0.172222950961625,0.00624139413019005,"Water/wetland","Tipping Point",0.578233917867001
"9","blkswi",0.363408398312957,0.00680503563124676,"Forest","Tipping Point",0.500337146501849
"10","boboli",0.365523432912911,0.00369325598664358,"Grasslands","Tipping Point",0.348177685019556
"11","bubsan",0.369001435085361,0.00812896613896316,"Water/wetland","Tipping Point",0.240016973874386
"12","canwar",0.366486668282623,0.00168147525122276,"Forest","Tipping Point",0.56496349093461
"13","cerwar",0.369853564562619,0.00359826435562338,"Forest","Tipping Point",0.905738561406179
"14","chclon",0.368738623990602,0.00206947577126359,"Grasslands","Tipping Point",0.373746722690504
"15","chiswi",0.368441947664292,0.00351087896645172,"Forest","Tipping Point",0.570843341657538
"16","clagre",0.361431194713148,0.0138039887873834,"Water/wetland","Tipping Point",0.349753176355785
"17","easwpw1",0.369430838996254,0.00195847904416423,"Forest","Tipping Point",0.834151787597359
"18","evegro",0.367805116343368,0.00150947377266637,"Forest","Tipping Point",0.549116064924194
"19","gbbgul",0.152895284234194,0.0106054850571112,"Water/wetland","Tipping Point",0.765897643034139
"20","gowwar",0.369572047908785,0.00226077837751585,"Forest","Tipping Point",0.646186157298018
"21","grawar",0.369886682157883,0.00482324613269156,"Forest","Tipping Point",0.432594689101215
"22","harspa",0.369713259806513,0.0015728336241115,"Water/wetland","Tipping Point",0.428454527567279
"23","henspa",0.369889707856293,0.00303338072962269,"Grasslands","Tipping Point",0.502867546368529
"24","hudgod",0.369451807529166,0.00395573562478211,"Water/wetland","Tipping Point",0.21228658219467
"25","kineid",0.231349180837469,0.0534193525737669,"Water/wetland","Tipping Point",0.47765342991579
"26","kinrai4",0.360138888053158,0.00567425152322773,"Water/wetland","Tipping Point",0.460621851001624
"27","lecspa",0.36954512225235,0.00175393331778011,"Grasslands","Tipping Point",0.272530423691365
"28","lecthr",0.369341216807643,0.00631190427882222,"Aridlands","Tipping Point",0.0624496105108392
"29","lesyel",0.367878136854141,0.00304173034229552,"Water/wetland","Tipping Point",0.152578341666498
"30","lobdow",0.367320939514537,0.00464613662774737,"Water/wetland","Tipping Point",0.182948900027244
"31","mcclon",0.369629386943713,0.00374505564197313,"Grasslands","Tipping Point",0.332823635377822
"32","motduc",0.351301443409032,0.00780874271283331,"Water/wetland","Tipping Point",0.345203664324504
"33","mouplo",0.369114065695603,0.0101472196063139,"Grasslands","Tipping Point",0.209103666461417
"34","mouwar",0.367388930807166,0.0022480769662156,"Forest","Tipping Point",0.579213358373515
"35","olsfly",0.368655471077756,0.000807001584028117,"Forest","Tipping Point",0.415144957902318
"36","pecsan",0.369372961680417,0.00366170438219253,"Water/wetland","Tipping Point",0.119825073819126
"37","pinjay",0.369799565894766,0.00266651720479035,"Forest","Tipping Point",0.140344894681284
"38","prawar",0.366901270290876,0.00157342550036271,"Forest","Tipping Point",0.791217490570264
"39","redkno",0.143416893641999,0.0204862196628028,"Water/wetland","Tipping Point",0.562800324055761
"40","rehwoo",0.369663811257698,0.000905230502639454,"Forest","Tipping Point",0.549728316069754
"41","rocsan",0.173189110835882,0.0266921445824253,"Water/wetland","Tipping Point",0.637525130860094
"42","rudtur",0.217328190967105,0.0126270500162581,"Water/wetland","Tipping Point",0.480235634651486
"43","rufhum",0.367695479782457,0.00140893944515826,"Forest","Tipping Point",0.381323486009423
"44","saggro",0.369719802123641,0.00279079396591313,"Aridlands","Tipping Point",0.11919698963368
"45","semsan",0.34231974302435,0.00534393454261073,"Water/wetland","Tipping Point",0.213790472391855
"46","shbdow",0.280785717250259,0.0153255502261752,"Water/wetland","Tipping Point",0.341234903307489
"47","snoowl1",0.365149228639023,0.0029598124438807,"Water/wetland","Tipping Point",0.149272281958075
"48","sprpip",0.367608736318965,0.00200972813623413,"Grasslands","Tipping Point",0.338779801688795
"49","stisan",0.36735172263093,0.00276323241402855,"Water/wetland","Tipping Point",0.211236614892997
"50","surfbi",0.103680043053399,0.010014761438169,"Water/wetland","Tipping Point",0.755776782501698
"51","tribla",0.370610337452888,0.0190287620063909,"Water/wetland","Tipping Point",0.644990257552081
"52","wantat1",0.0809386203911171,0.0143074186995166,"Water/wetland","Tipping Point",0.834144749543384
"53","wesgre",0.339616234731519,0.0117805288530157,"Water/wetland","Tipping Point",0.498732491384362
"54","whimbr",0.327766238810064,0.00886121421115738,"Water/wetland","Tipping Point",0.290485683181159
"55","woothr",0.36942905507663,0.00114652201776394,"Forest","Tipping Point",0.749992056820272
"56","yebloo",0.314824703877981,0.0283217284201121,"Water/wetland","Tipping Point",0.404825479015699
"57","yebmag",0.370148517745973,0.0133703574868095,"Forest","Tipping Point",0.575756440652185
